headword,current_center,proposed_extension,recommended_treatment,semantic_relationship,conversational_clarity,hidden_root_integrity,context_reliability,comparative_value,backward_compatibility,audit_status
Duma/Dumeth,"irreversible bodily death; dead or deceased","machine shutdown grid death device failure or generic destruction",protected rejection,weak,conditional,pass,conditional,low,"ED-0021 bodily boundary",reject
Shalbal,"emergence into independent living life","birth or launch of idea institution or machine",protected rejection,moderate,high,pass,high,low,"ED-0021 living boundary; use a Shal beginning construction",reject
Morl,"mountain; under or beneath","obstacle endurance or stability as standalone senses",protected rejection,moderate,conditional,fail,conditional,low,"would expose conceptual root associations and duplicate newer words",reject
Dren,"water physical symbolic and river","information emotional or social flow as standalone senses",protected rejection,moderate,conditional,fail,conditional,low,"keep conceptual flow in compounds and idioms",reject displayed sense
Vethvelrathor,"non-agential residual memory-pattern","sound echo ghost spirit dream or hallucination",protected rejection,weak,low,pass,low,low,"explicit post-Fracture semantic boundary",reject
Aivkor,"bodily wound","wound in land system or reality",protected rejection,moderate,conditional,pass,conditional,low,"bodily boundary and collision with proper-name lore",reject
Mav,"bodily illness","machine malfunction or institutional sickness",protected rejection,weak,conditional,pass,conditional,low,"technical failure needs technical language",reject
Zorxar,"animal-made shell and its material","machine casing or manufactured housing",protected rejection,moderate,high,pass,high,low,"constructed housing deserves a distinct compound",reject
Vethor,"shadow mystery and sleep","secrecy or privacy",protected rejection,moderate,conditional,pass,conditional,low,"Xil and Kaweleth preserve needed distinctions",reject
Tal/Talaen,"give or offer; take or receive; established contextual idioms","one newly narrowed transfer direction",protected preservation,not applicable,conditional,pass,conditional,not applicable,"all established directional and idiomatic uses must remain",preserve both
