unit	stage	id	type	celan	english	source
U02	1	PE-V3-0033	Kinship example	Velar shalil nor dren.	The elder moves lightly by the water.	Volume 3: Culture, Context, and Advanced Expression
U02	1	PE-V3-0034	Kinship example	Pralin ser dren thal morl.	The cousin is by the water under the mountain.	Volume 3: Culture, Context, and Advanced Expression
U02	1	PE-V3-0035	Kinship example	Velkavor lian nor Terra.	The ancestor speaks to the Earth.	Volume 3: Culture, Context, and Advanced Expression
U02	1	PE-V3-0036	Kinship example	Belvok ser dren an Teremil.	The family is together at home by the water.	Volume 3: Culture, Context, and Advanced Expression
U02	1	PE-V3-0037	Kinship example	Xarvethral ser Felka thal dren.	The adoptive parent is with the child by the water.	Volume 3: Culture, Context, and Advanced Expression
U02	1	PE-V3-0052	Emotion verb example	Fahaen I Vethor.	I fear the Shadow.	Volume 3: Culture, Context, and Advanced Expression
U02	1	PE-V3-0054	Emotion verb example	Vialaen Ilin ser vaar.	We rejoice in peace.	Volume 3: Culture, Context, and Advanced Expression
U02	1	PE-V3-0055	Emotion verb example	Ohmaen Ya Kalvok-en.	You love your bonded partner.	Volume 3: Culture, Context, and Advanced Expression
U02	1	PE-V3-0056	Emotion verb example	Ravokhaen Tavan dren.	The parent desires water.	Volume 3: Culture, Context, and Advanced Expression
U03	1	PE-DSL1-0001	Expansion example	karethaen I shem an krezvek.	I use the spoon in the cooking pot.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0002	Expansion example	dor I shem an pralor.	I put the spoon on the table.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0003	Expansion example	rinaen worvenak an krezvek.	The stew is in the cooking pot.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0004	Expansion example	drentalaen I dren an krezvek.	I pour water into the cooking pot.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0005	Expansion example	rinaen krezpral feneth.	The pan is hot.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0006	Expansion example	pelvaraen I krezpral.	I scrape the pan.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0007	Expansion example	dor I emil an emilpral.	I put the food on the plate.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0008	Expansion example	drenselaen I emilpral.	I wash the plate.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0009	Expansion example	rinaen belar an kavvek.	The spice is in the jar.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0010	Expansion example	xaraen I kavvek.	I close the jar.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0011	Expansion example	rinaen kavvek an eshpral.	The jar is on the shelf.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0012	Expansion example	tal I kavvek thal eshpral.	I take the jar from the shelf.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0013	Expansion example	rinaen belrin an xarvek.	The fabric is in the cupboard.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0014	Expansion example	kaxaraen I xarvek.	I open the storage chest.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0015	Expansion example	rinaen rask an pralor.	The raw hide is on the table.	Domestic and Sensory Life 1
U03	1	PE-DSL1-0016	Expansion example	tovaen I rask.	I touch the raw hide.	Domestic and Sensory Life 1
U03	1	PE-V4-0016	Mundane Objects & Tools example	Nethaen Azron an nethor.	The woman sits on the chair.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U03	1	PE-V4-0017	Mundane Objects & Tools example	Rinaen zhirin an pralor.	The rope is on the table.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U03	1	PE-V4-0018	Mundane Objects & Tools example	Var I thal vorkor.	I go from/through the door.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U03	1	PE-V4-0020	Mundane Objects & Tools example	Rinaen emil esh pralor.	The food is on the table.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U04	2	PE-V1-0027	Question/imperative example	Va var dren!	“Go to the water!”	Volume 1: Fundamentals
U04	2	PE-SRD1-0001	Expansion example	va jekaen Ya naku.	Turn left.	Spatial Reference and Deixis 1
U04	2	PE-SRD1-0003	Expansion example	va jekaen Ya sora.	Turn right.	Spatial Reference and Deixis 1
U04	2	PE-SRD1-0008	Expansion example	va var Ya an deni.	Come here.	Spatial Reference and Deixis 1
U04	2	PE-SRD1-0012	Expansion example	va sharaen Ya sharavok denla.	Follow that caravan over there.	Spatial Reference and Deixis 1
U04	2	PE-SRD1-0017	Expansion example	va anshanaen Ya xaror.	Come inside the room.	Spatial Reference and Deixis 1
U04	2	PE-SRD1-0020	Expansion example	va thalshanaen Yalin xaror.	You all exit the room.	Spatial Reference and Deixis 1
U04	2	PE-UHEI1-0014	Expansion example	va mbaen Ya I.	Help me.	Understanding, Helping, and Emotional Interiority 1
U04	2	PE-V3-0018	Discourse marker example	Ra var Ya dren?	Do you go to the water?	Volume 3: Culture, Context, and Advanced Expression
U04	2	PE-V3-0019	Discourse marker example	Nor-var Ya dren an Varthas?	Will you go to the water in the city?	Volume 3: Culture, Context, and Advanced Expression
U04	2	PE-V4-0076	Abstract Concepts example	Ra aen Ya kelrin?	Do you speak your name?	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U04	2	PE-SRD1-0010	Expansion example	ra rinaen karvek denya lianeth?	Is that toolkit by you reliable?	Spatial Reference and Deixis 1
U04	2	PE-UHEI1-0003	Expansion example	ra nemaen Ya?	Do you understand?	Understanding, Helping, and Emotional Interiority 1
U04	2	PE-UHEI1-0013	Expansion example	ra mbaen I Ya?	May I help you?	Understanding, Helping, and Emotional Interiority 1
U04	2	PE-V1-0023	Negation example	Ver var I dren.	“I do not go to the water.”	Volume 1: Fundamentals
U04	2	PE-V1-0024	Negation example	Ver shal I dren.	“There is no light at the water.”	Volume 1: Fundamentals
U04	2	PE-V3-0008	Politeness example	Ver var I dren, Li-Ser.	I cannot go to the water, respected friend.	Volume 3: Culture, Context, and Advanced Expression
U04	2	PE-V4-0045	Clothing & Worn Items example	Ver var I ka trakor.	I do not go without shoes.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U04	2	PE-UHEI1-0004	Expansion example	ver nemaen I.	I do not understand.	Understanding, Helping, and Emotional Interiority 1
U04	2	PE-UHEI1-0031	Expansion example	ver rinaen daku an neth.	There is no boredom in the rest.	Understanding, Helping, and Emotional Interiority 1
U05	2	PE-V1-0017	Tense/aspect example	Var I dren.	“I go to the water.”	Volume 1: Fundamentals
U05	2	PE-V1-0018	Tense/aspect example	Tha-var I dren.	“I went to the water.”	Volume 1: Fundamentals
U05	2	PE-V1-0019	Tense/aspect example	Nor-var I dren.	“I will go to the water.”	Volume 1: Fundamentals
U05	2	PE-V1-0020	Tense/aspect example	Varal I dren.	“I am going to the water.”	Volume 1: Fundamentals
U05	2	PE-V1-0021	Tense/aspect example	Varath I dren.	“I have gone to the water.”	Volume 1: Fundamentals
U05	2	PE-V1-0022	Tense/aspect example	Varas I dren.	“I usually go to the water.”	Volume 1: Fundamentals
U05	2	PE-V2-0001	Time-of-day example	Var I dren an Kinnshal.	I go to the water at dawn.	Volume 2: Dictionary and Word Formation
U05	2	PE-V2-0002	Time-of-day example	Kinnmor kal dren nor shal.	The morning strengthens with water and light.	Volume 2: Dictionary and Word Formation
U05	2	PE-V2-0003	Time-of-day example	Tal I dren an Kinnlin.	I drink the water at noon.	Volume 2: Dictionary and Word Formation
U05	2	PE-V2-0004	Time-of-day example	Nor-var I dren thal Kilvthal.	I will go to the water in the afternoon.	Volume 2: Dictionary and Word Formation
U05	2	PE-V2-0005	Time-of-day example	Kilveth dren morl shal.	Evening rests under the light.	Volume 2: Dictionary and Word Formation
U05	2	PE-V2-0006	Time-of-day example	Var I dren an Kilvfah.	I go to the water at nightfall.	Volume 2: Dictionary and Word Formation
U05	2	PE-V2-0007	Time-of-day example	Tal I kilvlum dren nor veth.	I drink at midnight by the water's shadow.	Volume 2: Dictionary and Word Formation
U05	2	PE-V2-0109	Season example	Zhaelor shalil nor dren.	Spring flows lightly by the water.	Volume 2: Dictionary and Word Formation
U05	2	PE-V2-0110	Season example	Fenrek kal nor dren.	Summer strengthens by the water.	Volume 2: Dictionary and Word Formation
U05	2	PE-V2-0111	Season example	Tharvin nor dren kal morl.	Autumn balances the water with the mountain.	Volume 2: Dictionary and Word Formation
U05	2	PE-V2-0112	Season example	Velthaen dren nor morl.	Winter flows by the mountain.	Volume 2: Dictionary and Word Formation
U05	2	PE-V3-0108	Sample Sentence	Tha-var ser nor dren.	The friend went to the water.	Volume 3: Culture, Context, and Advanced Expression
U05	2	PE-V3-0109	Sample Sentence	Nor-var I thal Terra.	I will go in the balance of the Earth.	Volume 3: Culture, Context, and Advanced Expression
U05	2	PE-V4-0062	Essential Verbs example	Nor-vethoraen Ilin an nethlor.	We will sleep on the beds.	Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech
U06	2	PE-FAP1-0053	Expansion example	dor I zornelar an fennildren.	I put honey in the tea.	Food, Agriculture, and Preservation 1
U06	2	PE-FAP1-0055	Expansion example	dor I jelkor an venak.	I put seasoning in the stew.	Food, Agriculture, and Preservation 1
U06	2	PE-FAP1-0057	Expansion example	pralaen I fennildren.	I make an herbal infusion.	Food, Agriculture, and Preservation 1
U06	2	PE-FAP1-0058	Expansion example	tal ser fennildren an I.	The friend gives tea to me.	Food, Agriculture, and Preservation 1
U06	2	PE-FAP1-0059	Expansion example	tal I emildren an ser.	I give a beverage to the friend.	Food, Agriculture, and Preservation 1
U06	2	PE-FAP1-0060	Expansion example	rinaen emildren an drenvor.	The beverage is in the cup.	Food, Agriculture, and Preservation 1
U06	2	PE-FAP2-0003	Expansion example	rinaen fellak an kavvek.	The flour is in the jar.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0004	Expansion example	dor I fellak an drenvor.	I put flour in the bowl.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0005	Expansion example	pralaen I drenfellak.	I make dough.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0009	Expansion example	dor I emilolan an krezpral.	I put cooking oil in the pan.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0013	Expansion example	kes I pralfel ka.	I notice that an ingredient is missing.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0015	Expansion example	velzhiraen I emilshara.	I remember the recipe.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0017	Expansion example	emilpralaen I venak.	I cook the stew.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0019	Expansion example	xarkrezaen I drenfellak.	I bake the dough.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0021	Expansion example	krezdrenaen I dren.	I boil the water.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0023	Expansion example	eshkrezaen I teravin.	I roast the root vegetables.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0029	Expansion example	eshdrenaen I fennil.	I steam the greens.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0031	Expansion example	felthamaen I saren.	I grind the wheat.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0033	Expansion example	pelaen I vilor.	I slice the fruit.	Food, Agriculture, and Preservation 2
U06	2	PE-FAP2-0035	Expansion example	drenpralaen I fennildren.	I brew the herbal drink.	Food, Agriculture, and Preservation 2
U07	3	PE-SRD1-0002	Expansion example	rinaen nethor naku I.	The chair is to my left.	Spatial Reference and Deixis 1
U07	3	PE-SRD1-0004	Expansion example	rinaen vorkor sora I.	The door is to my right.	Spatial Reference and Deixis 1
U07	3	PE-SRD1-0005	Expansion example	rinaen I an kor.	I am in the middle.	Spatial Reference and Deixis 1
U07	3	PE-SRD1-0006	Expansion example	dor I vekmor an kor.	I put the cargo in the center.	Spatial Reference and Deixis 1
U07	3	PE-SRD1-0011	Expansion example	kes I mekor denla.	I notice that building over there.	Spatial Reference and Deixis 1
U07	3	PE-SRD1-0016	Expansion example	rinaen felka kaan mekor.	The child is outside the building.	Spatial Reference and Deixis 1
U07	3	PE-SRD1-0018	Expansion example	anshanaen zor mekor shan vorkor.	The animal enters the building through the door.	Spatial Reference and Deixis 1
U07	3	PE-SRD1-0019	Expansion example	thalshanaen I mekor shan vorkor.	I exit the building through the door.	Spatial Reference and Deixis 1
U07	3	PE-BSPI1-0001	Expansion example	rinaen mekor an varthas.	The building is in the city.	Built Spaces and Public Infrastructure 1
U07	3	PE-BSPI1-0002	Expansion example	zhaelpralaen mekral mekor.	The craftsperson repairs the building.	Built Spaces and Public Infrastructure 1
U07	3	PE-BSPI1-0003	Expansion example	korinaen ndara eshxar.	The wall holds the roof.	Built Spaces and Public Infrastructure 1
U07	3	PE-BSPI1-0004	Expansion example	zhaelpralaen mekral ndara.	The craftsperson repairs the wall.	Built Spaces and Public Infrastructure 1
U07	3	PE-BSPI1-0005	Expansion example	rinaen eshxar esh mekor.	The roof is above the building.	Built Spaces and Public Infrastructure 1
U07	3	PE-BSPI1-0006	Expansion example	zhaelpralaen mekral eshxar.	The craftsperson repairs the roof.	Built Spaces and Public Infrastructure 1
U07	3	PE-BSPI1-0007	Expansion example	rinaen vekmor an morlpral.	The cargo is on the floor.	Built Spaces and Public Infrastructure 1
U07	3	PE-BSPI1-0008	Expansion example	zhaelpralaen mekral morlpral.	The craftsperson repairs the floor.	Built Spaces and Public Infrastructure 1
U07	3	PE-BSPI1-0009	Expansion example	rinaen shalkor an aneshxar.	The lamp is on the ceiling.	Built Spaces and Public Infrastructure 1
U07	3	PE-BSPI1-0010	Expansion example	rinaen aneshxar esh nethor.	The ceiling is above the chair.	Built Spaces and Public Infrastructure 1
U07	3	PE-BSPI1-0011	Expansion example	kaxaraen I shalshan.	I open the window.	Built Spaces and Public Infrastructure 1
U07	3	PE-BSPI1-0012	Expansion example	xaraen I shalshan.	I close the window.	Built Spaces and Public Infrastructure 1
U08	3	PE-TVO1-0011	Expansion example	vekvaraen I delkormek.	I ride the motorbike.	Transportation and Vehicle Operations 1
U08	3	PE-TVO1-0013	Expansion example	weksharaen I ser delwek.	I commute by bicycle.	Transportation and Vehicle Operations 1
U08	3	PE-TVO1-0015	Expansion example	anvekaen I zhirvek.	I board the railcar.	Transportation and Vehicle Operations 1
U08	3	PE-TVO1-0017	Expansion example	dar I belzhirvek.	I wait for the train.	Transportation and Vehicle Operations 1
U08	3	PE-TVO1-0018	Expansion example	var belzhirvek an zhirshara.	The train travels on the railway.	Transportation and Vehicle Operations 1
U08	3	PE-TVO1-0024	Expansion example	anvekaen vekin eshvek.	The passenger boards the aircraft.	Transportation and Vehicle Operations 1
U08	3	PE-TVO1-0028	Expansion example	vekvaraen I krenzhirvek.	I ride the cable car.	Transportation and Vehicle Operations 1
U08	3	PE-TVO1-0029	Expansion example	var mahrpral an mahr.	The raft travels on the sea.	Transportation and Vehicle Operations 1
U08	3	PE-TVO1-0033	Expansion example	kormekaen I kormekvek.	I drive the motor vehicle.	Transportation and Vehicle Operations 1
U08	3	PE-TVO1-0041	Expansion example	anvekaen I belzhirvek.	I board the train.	Transportation and Vehicle Operations 1
U08	3	PE-EGE1-0001	Expansion example	kes varral felmorl esh delmorl.	The traveler notices a hill above the valley.	Environment, Geography, and Ecology 1
U08	3	PE-EGE1-0002	Expansion example	rinaen delmorl morl pelmorl.	The valley lies beneath the cliff.	Environment, Geography, and Ecology 1
U08	3	PE-EGE1-0003	Expansion example	rinaen pelmorl an morlshara.	The cliff stands at the mountain pass.	Environment, Geography, and Ecology 1
U08	3	PE-EGE1-0004	Expansion example	var sharavok shan morlshara var xarmorl.	The caravan travels through the mountain pass toward the cave.	Environment, Geography, and Ecology 1
U08	3	PE-EGE1-0005	Expansion example	rinaen xarmorl an shanmorl.	The cave is within the canyon.	Environment, Geography, and Ecology 1
U08	3	PE-EGE1-0007	Expansion example	kes I selmor thal ndavimor.	I see the plain from the plateau.	Environment, Geography, and Ecology 1
U08	3	PE-EGE1-0008	Expansion example	rinaen ndavimor esh kadromor.	The plateau is above the desert.	Environment, Geography, and Ecology 1
U08	3	PE-EGE1-0012	Expansion example	wel drenfel var terramahr.	The stream flows toward the coast.	Environment, Geography, and Ecology 1
U08	3	PE-EGE1-0013	Expansion example	wel drenfel an fellun.	The stream flows into the pond.	Environment, Geography, and Ecology 1
U08	3	PE-EGE1-0023	Expansion example	moraen eshjor eshdren thal mahr.	The gale carries humid air from the sea.	Environment, Geography, and Ecology 1
U09	3	PE-BIAOBF1-0001	Expansion example	rinaen aiv an I ka doran.	There is pain in my torso.	Body, Internal Anatomy, and Ordinary Bodily Functions 1
U09	3	PE-BIAOBF1-0002	Expansion example	keshenaen zhaelral aivkor an doran.	The healer examines a wound on the torso.	Body, Internal Anatomy, and Ordinary Bodily Functions 1
U09	3	PE-BIAOBF1-0003	Expansion example	rinaen aiv an I ka breka.	There is pain in my chest.	Body, Internal Anatomy, and Ordinary Bodily Functions 1
U09	3	PE-BIAOBF1-0004	Expansion example	khosaen I ser aiv an breka.	I cough with pain in my chest.	Body, Internal Anatomy, and Ordinary Bodily Functions 1
U09	3	PE-BIAOBF1-0005	Expansion example	rinaen aiv an I ka vesh.	There is pain in my back.	Body, Internal Anatomy, and Ordinary Bodily Functions 1
U09	3	PE-BIAOBF1-0007	Expansion example	rinaen aiv an felka ka davel.	There is pain in the child's belly.	Body, Internal Anatomy, and Ordinary Bodily Functions 1
U09	3	PE-BIAOBF1-0008	Expansion example	keshenaen zhaelral davel.	The healer examines the abdomen.	Body, Internal Anatomy, and Ordinary Bodily Functions 1
U09	3	PE-BIAOBF1-0009	Expansion example	rinaen aiv an I ka korkalvar.	There is pain in my shoulder.	Body, Internal Anatomy, and Ordinary Bodily Functions 1
U09	3	PE-BIAOBF1-0010	Expansion example	vekaen I kavvek an korkalvar.	I carry the jar on my shoulder.	Body, Internal Anatomy, and Ordinary Bodily Functions 1
U09	3	PE-BIAOBF1-0011	Expansion example	rinaen aivkor an kalvargora.	There is a wound at the elbow.	Body, Internal Anatomy, and Ordinary Bodily Functions 1
U09	3	PE-DSL1-0039	Expansion example	rivaen felka an veljor.	The child shivers in the cold snap.	Domestic and Sensory Life 1
U09	3	PE-DSL1-0040	Expansion example	rivaen ser an xarphelor.	The friend shivers in the shelter.	Domestic and Sensory Life 1
U09	3	PE-DSL1-0041	Expansion example	jelaen I worvenak.	I taste the stew.	Domestic and Sensory Life 1
U09	3	PE-DSL1-0042	Expansion example	jelaen zhaelral fennilphel.	The healer tastes the herbal remedy.	Domestic and Sensory Life 1
U09	3	PE-DSL1-0043	Expansion example	kelvorthamaen I morlak.	I chew the bread.	Domestic and Sensory Life 1
U09	3	PE-DSL1-0044	Expansion example	kelvorthamaen felka teravin.	The child chews the root vegetable.	Domestic and Sensory Life 1
U09	3	PE-DSL1-0063	Expansion example	numaen I fennilphel.	I swallow the herbal remedy.	Domestic and Sensory Life 1
U09	3	PE-DSL1-0064	Expansion example	numaen felka morlak.	The child swallows the bread.	Domestic and Sensory Life 1
U09	3	PE-DSL1-0065	Expansion example	nolaen I worvenak.	I smell the stew.	Domestic and Sensory Life 1
U09	3	PE-DSL1-0066	Expansion example	nolaen ser krez.	The friend smells the fire.	Domestic and Sensory Life 1
U10	3	PE-HTS1-0001	Expansion example	rinaen ndem an aivkor.	There is blood at the wound.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0002	Expansion example	kes zhaelral ndem an aivkorxar.	The healer notices blood on the bandage.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0004	Expansion example	nethnor ndemaen ser.	The friend is still bleeding.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0005	Expansion example	aen savin mavkes.	The patient reports a symptom.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0006	Expansion example	kes zhaelral mavkes felka.	The healer notices the child's symptom.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0007	Expansion example	pralaen zhaelral keshen.	The healer conducts an examination.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0008	Expansion example	rinaen keshen shalnor talzhael.	The examination occurs before the treatment.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0009	Expansion example	keshenaen zhaelral savin.	The healer examines the patient.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0010	Expansion example	keshenaen zhaelral ser kakesrineth.	The healer examines the unconscious friend.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0011	Expansion example	aen zhaelral keshenath mavbal.	The healer states a diagnosis of infection.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0012	Expansion example	daraen savin keshenath.	The patient waits for the diagnosis.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0013	Expansion example	tal savin sava.	The patient receives care.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0014	Expansion example	rinaen sava an teremil.	There is care in the home.	Health, Treatment, and Survival 1
U10	3	PE-HTS1-0015	Expansion example	savaen zhaelral savin.	The healer cares for the patient.	Health, Treatment, and Survival 1
U10	3	PE-UHEI1-0010	Expansion example	kelnemaen liorin rethpral.	The teacher explains the mistake.	Understanding, Helping, and Emotional Interiority 1
U10	3	PE-UHEI1-0012	Expansion example	selnemaen khumkelral kalkel.	The representative clarifies the official order.	Understanding, Helping, and Emotional Interiority 1
U10	3	PE-UHEI1-0015	Expansion example	mbaen an I nor-ka belshara.	I need help; I must be helped.	Understanding, Helping, and Emotional Interiority 1
U10	3	PE-UHEI1-0016	Expansion example	lia. va mbaen Ya I.	Yes. Help me.	Understanding, Helping, and Emotional Interiority 1
U10	3	PE-UHEI1-0017	Expansion example	ka. ver mbaen Ya I.	No. Do not help me.	Understanding, Helping, and Emotional Interiority 1
U10	3	PE-UHEI1-0045	Expansion example	fahrethaen felka nor rekrathlor.	The child feels anxious during the emergency.	Understanding, Helping, and Emotional Interiority 1
U11	4	PE-TM1-0001	Expansion example	rinaen karmek an karvek.	The tool is in the toolkit.	Tools and Machines 1
U11	4	PE-TM1-0002	Expansion example	tal I karmek an mekral.	I give the tool to the mechanic.	Tools and Machines 1
U11	4	PE-TM1-0003	Expansion example	rinaen kalmek kaleth.	The machine is powerful.	Tools and Machines 1
U11	4	PE-TM1-0004	Expansion example	zhaelpralaen mekral kalmek.	The mechanic repairs the machine.	Tools and Machines 1
U11	4	PE-TM1-0006	Expansion example	dor mekral felmek an kalmek.	The mechanic puts the component in the machine.	Tools and Machines 1
U11	4	PE-TM1-0007	Expansion example	zhaelpralaen mekral kormek.	The mechanic repairs the engine.	Tools and Machines 1
U11	4	PE-TM1-0008	Expansion example	zhaelpralaen I nethor.	I repair the chair.	Tools and Machines 1
U11	4	PE-TM1-0009	Expansion example	dor I jelkor an thamvek.	I put the spice in the mortar.	Tools and Machines 1
U11	4	PE-TM1-0010	Expansion example	drenselaen I thamvek.	I wash the mortar.	Tools and Machines 1
U11	4	PE-TM1-0011	Expansion example	karethaen I thamkar an thamvek.	I use the pestle in the mortar.	Tools and Machines 1
U11	4	PE-TM1-0012	Expansion example	rinaen thamkar an karvek.	The pestle is in the toolkit.	Tools and Machines 1
U11	4	PE-TM1-0013	Expansion example	zhaelpralaen I belxar ser zhirpel.	I repair the garment with a needle.	Tools and Machines 1
U11	4	PE-WRT1-0001	Expansion example	lorin ral teremil.	The steward manages the household.	Work Roles and Trade 1
U11	4	PE-WRT1-0002	Expansion example	kes ral shental.	The steward reviews the allocation.	Work Roles and Trade 1
U11	4	PE-WRT1-0003	Expansion example	pralaen pralilan ser krenral.	The apprentice works with the smith.	Work Roles and Trade 1
U11	4	PE-WRT1-0004	Expansion example	zhaelpralaen pralilan ndara ser mormekral.	The apprentice repairs the wall with the mason.	Work Roles and Trade 1
U11	4	PE-WRT1-0005	Expansion example	pralaen pralral drenvor.	The artisan makes a bowl.	Work Roles and Trade 1
U11	4	PE-WRT1-0006	Expansion example	thalvanesh pralral belrin.	The artisan sells fabric.	Work Roles and Trade 1
U11	4	PE-WRT1-0007	Expansion example	pralaen krenral kareth.	The smith makes a hammer.	Work Roles and Trade 1
