entry_id,source_volume,source_section,page_number,related_source_volume,related_source_section,issue_type,original_wording,description,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
PT-V2-0006,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Vaar,Vaar appears as Peace/Unity and Peace/Calm in Volume 2.,Needs Human Review,No resolution applied.,LX-V2-0037; LX-V2-0041,terminology overlap,PT-V2-0006,Needs Human Review,contextual meaning overlap
PT-V2-0007,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Kalor,Kalor appears as Strength (mind/spirit) and Courage/Strength of Spirit in Volume 2.,Needs Human Review,No resolution applied.,LX-V2-0032; LX-V2-0042,terminology overlap,PT-V2-0007,Needs Human Review,contextual meaning overlap
PT-V2-0008,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Thar,Thar appears as Heart in Nature and Body contexts.,Needs Human Review,No resolution applied.,LX-V2-0007; LX-V2-0057,terminology overlap,PT-V2-0008,Needs Human Review,contextual meaning overlap
PT-V2-0009,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Aen,Aen appears as Speak/Tell/Breath of Life and Speak/Tell.,Needs Human Review,No resolution applied.,LX-V2-0028; LX-V2-0062,terminology overlap,PT-V2-0009,Needs Human Review,contextual meaning overlap
PT-V2-0010,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Lian,Lian appears as Truth/Honesty in multiple categories and in derivations.,Needs Human Review,No resolution applied.,LX-V2-0027; LX-V2-0064,terminology overlap,PT-V2-0010,Needs Human Review,contextual meaning overlap
PT-V2-0011,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Rathor,Rathor appears as Past/History and Old City/Ancient Place.,Needs Human Review,No resolution applied.,LX-V2-0022; LX-V2-0085,terminology overlap,PT-V2-0011,Needs Human Review,contextual meaning overlap
PT-V2-0012,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Terminology overlap,Krezor,Krezor appears as Forge/Place of Fire and as a compounding example.,Needs Human Review,No resolution applied.,LX-V2-0087; LX-V2-0146,terminology overlap,PT-V2-0012,Needs Human Review,terminology overlap
PT-V2-0013,Volume 2: Dictionary and Word Formation,Vocabulary Categories / Word Formation and Morphology,3-14,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Related prior or same-volume entries,Duplicate / cleanup record,Morldren duplicate/variant spelling cleanup,Former hyphenated variant was human-approved as Morldren. The related entries now use the same fused compound form without merging rows.,Canon,Human-approved hyphen cleanup applied; no active canon conflict remains.,LX-V2-0074; LX-V2-0145,duplicate,PT-V2-0013,Approved,
PT-V2-0019,Volume 2: Dictionary and Word Formation,Food Vocabulary > Specialty Ingredients; Food Vocabulary by Nation > Pelagae,15; 17,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Pelagae,Terminology overlap,Felorin: Berry/Small Fruit; Felorin: Berry from Coral Reefs,Felorin appears as a general specialty ingredient and as a Pelagae food item. Both entries preserved separately.,Needs Human Review,No resolution applied.,LX-V2-0167; LX-V2-0174,terminology overlap,PT-V2-0019,Needs Human Review,contextual meaning overlap
PT-V3-0011,"Volume 3: Culture, Context, and Advanced Expression",Complex Sentence Structures,1,"Volume 3: Culture, Context, and Advanced Expression",Complex Sentence Structures,Source ambiguity,(Placeholder for future development of other complex syntax),The table of contents references future development of other complex syntax. No rules were invented.,Needs Human Review,No resolution applied.,,source ambiguity,PT-V3-0011,Source Ambiguity,source ambiguity
PT-V3-0001,"Volume 3: Culture, Context, and Advanced Expression",Politeness and Honorifics > Levels of Politeness,4,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Derivation and Word Formation,Refinement,Li-; -en,Volume 3 refines Li- and -en as politeness/honorific forms after Volume 2 lists them as respect/honorific morphology.,Needs Human Review,No resolution applied.,RM-V3-0001; RM-V3-0002; RM-V2-0038; RM-V2-0032,refinement,PT-V3-0001,Needs Human Review,possible overlap with earlier rule
PT-V3-0002,"Volume 3: Culture, Context, and Advanced Expression",Register Markers; Complex Sentence Structures,5; 7,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism / Everyday Life,Terminology overlap,Aen,"Aen appears as speak/tell/breath of life, formal vocabulary, and complementizer “that.”",Needs Human Review,No resolution applied.,LX-V3-0009; RM-V3-0005; LX-V2-0028; LX-V2-0062,terminology overlap,PT-V3-0002,Needs Human Review,terminology overlap
PT-V3-0003,"Volume 3: Culture, Context, and Advanced Expression",Register Markers,5,Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation,Basic Sentence Structure / Vocabulary,Terminology overlap,Var,"Var appears as go/move, formal purposeful movement, and prior verb/preposition overlap.",Needs Human Review,No resolution applied.,LX-V3-0010; LX-V2-0034; PT-V1-0001; PT-V2-0002,terminology overlap,PT-V3-0003,Needs Human Review,terminology overlap
PT-V3-0004,"Volume 3: Culture, Context, and Advanced Expression",Register Markers > Emotional Intensity Markers,5,Volume 2: Dictionary and Word Formation,Expanded Vocabulary,Terminology overlap,Ar,Ar is used as an intensity marker; Volume 2 includes roots/derivation material involving ar in examples such as Belar. Preserved without resolving.,Needs Human Review,No resolution applied.,LX-V3-0015; RM-V3-0003,terminology overlap,PT-V3-0004,Needs Human Review,terminology overlap
PT-V3-0005,"Volume 3: Culture, Context, and Advanced Expression",Register Markers > Emotional Intensity Markers,5,Volume 2: Dictionary and Word Formation,Vocabulary / Roots,Terminology overlap,Fel,Fel is used as a diminisher and appears as small/young root in later derivations. Preserved separately.,Needs Human Review,No resolution applied.,LX-V3-0016; RM-V3-0004,terminology overlap,PT-V3-0005,Needs Human Review,terminology overlap
PT-V3-0006,"Volume 3: Culture, Context, and Advanced Expression",Pragmatic Usage and Discourse Markers > Basic Responses,6,Volume 1: Fundamentals,Prepositions and Case Markers,Terminology overlap,Ka,Ka appears as “No” in Volume 3 and as without/possessive-linking material in earlier volumes.,Needs Human Review,No resolution applied.,LX-V3-0018; PT-V1-0003; PT-V2-0024,terminology overlap,PT-V3-0006,Needs Human Review,terminology overlap
PT-V3-0007,"Volume 3: Culture, Context, and Advanced Expression",Pragmatic Usage and Discourse Markers > Discourse Particles,6,"Volume 3: Culture, Context, and Advanced Expression",Pragmatic Usage and Discourse Markers > Discourse Particles,Source ambiguity,"Structure might need careful handling (e.g., Main Clause, Kora + Reason Clause)",The source says Kora structure might need careful handling. Preserved without inventing a final rule.,Needs Human Review,No resolution applied.,LX-V3-0145,source ambiguity,PT-V3-0007,Source Ambiguity,source ambiguity
PT-V3-0008,"Volume 3: Culture, Context, and Advanced Expression",Complex Sentence Structures > Subordinate Clauses,7,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism / Everyday Life,Terminology overlap,Aen (that),"Aen is introduced as complementizer “that,” overlapping with Aen as speak/tell/breath of life.",Needs Human Review,No resolution applied.,GR-V3-0002; RM-V3-0005; LX-V3-0009,terminology overlap,PT-V3-0008,Needs Human Review,terminology overlap
PT-V3-0009,"Volume 3: Culture, Context, and Advanced Expression",Complex Sentence Structures > Comparatives and Superlatives,8,Volume 4 pending,Adjectival suffix / comparatives,Possible overlap,Ther / Thaal / shaleth,Comparative/superlative system may overlap later with Volume 4 adjectival suffix material. Flagged for future cross-volume review.,Needs Human Review,No resolution applied.,GR-V3-0004; RM-V3-0008,refinement,PT-V3-0009,Needs Human Review,possible overlap with earlier rule
PT-V3-0010,"Volume 3: Culture, Context, and Advanced Expression",Complex Sentence Structures > Conditionals,8,Volume 1: Fundamentals,Grammar > Conditionals,Refinement,Rath + Clause + Main Clause,Volume 3 restates conditionals in complex sentence context after Volume 1 introduced Rath conditionals. Preserved as refinement.,Needs Human Review,No resolution applied.,GR-V3-0005; RM-V3-0009; GR-V1-0017,refinement,PT-V3-0010,Needs Human Review,possible overlap with earlier rule
PT-V3-0012,"Volume 3: Culture, Context, and Advanced Expression",Possession (Detailed),13-14,Volume 1: Fundamentals,Pronouns and Person Markers > Possessive Forms / Case Markers,Refinement,Ian / -esh possession system,Volume 3 introduces Ian and connection-based -esh possession after Volume 1 introduced pronoun-before-noun and optional -ka. Preserved as separate systems.,Needs Human Review,No resolution applied.,GR-V3-0006; GR-V1-0007; GR-V1-0020,refinement,PT-V3-0012,Needs Human Review,possible overlap with earlier rule
PT-V3-0013,"Volume 3: Culture, Context, and Advanced Expression",Cultural & Ritual Expressions,14,"Volume 3: Culture, Context, and Advanced Expression",Cultural & Ritual Expressions,Source ambiguity,Ritual Nouns (using tentative ...),The source labels the ritual noun formation as tentative. Preserved without formalizing beyond source wording.,Needs Human Review,No resolution applied.,LX-V3-0075; LX-V3-0076; LX-V3-0077; LX-V3-0078,source ambiguity,PT-V3-0013,Source Ambiguity,source ambiguity
PT-V3-0014,"Volume 3: Culture, Context, and Advanced Expression",Core Emotion Verbs,16,"Volume 3: Culture, Context, and Advanced Expression",Core Emotion Verbs,Source ambiguity,Hypothetical noun Vaaranor (Inner Peace) + -aen.,The source marks Vaaranoraen derivation as hypothetical. Preserved without resolving.,Needs Human Review,No resolution applied.,LX-V3-0102; PE-V3-0065,source ambiguity,PT-V3-0014,Source Ambiguity,source ambiguity
PT-V3-0015,"Volume 3: Culture, Context, and Advanced Expression",Core Emotion Verbs,16,"Volume 3: Culture, Context, and Advanced Expression",Core Emotion Verbs,Source ambiguity,Expressing feeling betrayed might require more complex grammar not yet defined.,The source says a related construction might require grammar not yet defined. Preserved without inventing it.,Needs Human Review,No resolution applied.,LX-V3-0103; PE-V3-0066,source ambiguity,PT-V3-0015,Source Ambiguity,source ambiguity
PT-V3-0016,"Volume 3: Culture, Context, and Advanced Expression",Core Emotion Verbs,16,"Volume 3: Culture, Context, and Advanced Expression",Core Emotion Verbs,Source ambiguity,Vaar (Peace) + hypothetical kel (arrive) + -aen.,The source marks part of Vaar'kelaen derivation as hypothetical. Preserved without resolving.,Needs Human Review,No resolution applied.,LX-V3-0106; PE-V3-0069,source ambiguity,PT-V3-0016,Source Ambiguity,source ambiguity
PT-V3-0017,"Volume 3: Culture, Context, and Advanced Expression",Slurs for each of the eight nations,25-26,"Volume 3: Culture, Context, and Advanced Expression",Slurs for each of the eight nations,Source ambiguity,proposed slurs,The source describes the slurs as proposed. Preserved without elevating or resolving status.,Needs Human Review,No resolution applied.,CC-V3-0019; LX-V3-0125; LX-V3-0126; LX-V3-0127; LX-V3-0128; LX-V3-0129; LX-V3-0130; LX-V3-0131; LX-V3-0132,source ambiguity,PT-V3-0017,Source Ambiguity,source ambiguity
PT-V3-0018,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha,18-20,"Volume 3: Culture, Context, and Advanced Expression",Language Familiarity / Arvan / Trerran,Related usage,Arvan / Trerran regional language use,"Regional languages coexist with Celan in national contexts. Preserved as language-use context, not a contradiction.",Needs Human Review,No resolution applied.,CC-V3-0006; CC-V3-0015; CC-V3-0016; CC-V3-0017,related usage,PT-V3-0018,Needs Human Review,terminology overlap
PT-V4-0001,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Table of Contents: Volume 4,1,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Introduction: From the Abstract to the Tangible,Source ambiguity,Introduction listed in table of contents but not present as a separate extracted body section.,"The table of contents lists an Introduction section, but the extracted body begins with Section 2. Preserved as an index/reference ambiguity, not inferred content.",Needs Human Review,No resolution applied.,,source ambiguity,PT-V4-0001,Source Ambiguity,source ambiguity
PT-V4-0002,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Systemic Expansion > Section 2.1: The Adjectival Suffix -eth,2-3,"Volume 3: Culture, Context, and Advanced Expression",Comparatives and Superlatives; Cultural & Ritual Expressions,Refinement,-eth formally established as adjectival and ritual-nominal suffix,"Volume 4 formalizes -eth after earlier appearances in shaleth and tentative ritual nouns. This likely reframes PT-V3-0009 as refinement/expansion rather than contradiction, but PT-V3-0009 is left unchanged per instruction.",Needs Human Review,No resolution applied.,GR-V4-0001; RM-V4-0001; PT-V3-0009; PT-V3-0013,refinement,PT-V4-0002,Needs Human Review,possible overlap with earlier rule
PT-V4-0003,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Systemic Expansion > Section 2.2: Verb Mood and Modality,3,"Volume 2: Dictionary and Word Formation; Volume 3: Culture, Context, and Advanced Expression",Vocabulary / Quantifiers / Discourse / Emotion Verbs,Terminology overlap,Lianeth; Belshara; Rethlian; Thar-ka,Modal adverbs reuse or extend earlier lexical material. Preserved as separate modal entries with cross-links.,Needs Human Review,No resolution applied.,GR-V4-0002; LX-V4-0001; LX-V4-0002; LX-V4-0003; LX-V4-0004,terminology overlap,PT-V4-0003,Needs Human Review,terminology overlap
PT-V4-0004,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Systemic Expansion > Section 2.3: Passive Voice,4,"Volume 1: Fundamentals; Volume 2: Dictionary and Word Formation; Volume 3: Culture, Context, and Advanced Expression",Nor / Ka / -ka uses,Terminology overlap,nor-ka: Nor (Time/Flow) + -ka (particle),"Passive particle combines Nor and -ka, both already heavily polysemous/overlapping. Rule text extraction also omits the particle after Verb + Object +, so row is flagged.",Needs Human Review,No resolution applied.,GR-V4-0004; RM-V4-0003; PT-V1-0003; PT-V2-0001; PT-V3-0006,terminology overlap,PT-V4-0004,Needs Human Review,terminology overlap
PT-V4-0005,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Systemic Expansion > Section 2.4: Advanced Pronouns,4-5,Volume 1: Fundamentals,Pronouns and Person Markers > Personal Pronouns,Expansion,Dual and clusivity pronouns,Volume 4 expands earlier pronoun system with dual number and inclusive/exclusive we. Earlier entries preserved unchanged.,Needs Human Review,No resolution applied.,GR-V4-0005; LX-V4-0005; LX-V4-0006; LX-V4-0007; LX-V4-0008; LX-V4-0009; GR-V1-0006,expansion,PT-V4-0005,Needs Human Review,possible overlap with earlier rule
PT-V4-0006,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",The Living Lexicon > Section 3.7: Essential Conjunctions,12,Volume 1/2/3,Ser usages,Terminology overlap,Ser re-purposed from Ser (With) as And,"Volume 4 explicitly documents Ser as conjunction “and,” overlapping with friend/ally and with/preposition uses. Preserved as polysemy.",Needs Human Review,No resolution applied.,GR-V4-0006,terminology overlap,PT-V4-0006,Needs Human Review,terminology overlap
PT-V4-0007,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",The Living Lexicon > Section 3.7: Essential Conjunctions,12,Volume 2/3,Reth usages,Terminology overlap,Reth re-purposed from Reth (Uncertainty) as Or,"Volume 4 documents Reth as conjunction “or,” overlapping with uncertainty and possibility uses. Preserved as polysemy.",Needs Human Review,No resolution applied.,GR-V4-0006,terminology overlap,PT-V4-0007,Needs Human Review,terminology overlap
PT-V4-0008,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",The Living Lexicon > Section 3.10: Measurement,15-17,Volume 2/3/4,Aenor / Shen / Kinn usages,Terminology overlap,Aenor; Shen; Kinn measurement uses,"Measurement units reuse existing forms: Aenor as ear/moment, Shen from coinage, Kinn as daylight/day. Preserved as polysemy.",Needs Human Review,No resolution applied.,,terminology overlap,PT-V4-0008,Needs Human Review,terminology overlap
PT-V4-0009,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech","Section 3.11: Expanded Interjections, Oaths, & Expressions",17-19,Volume 2/3,Interjections / discourse responses / Ka / Lian'lia,Terminology overlap,"Expanded interjections, oaths, and nuanced affirmations reuse earlier particles and interjections.",Volume 4 expands interjections and expressions from prior volumes. Entries preserved separately as related usage.,Needs Human Review,No resolution applied.,,related usage,PT-V4-0009,Needs Human Review,terminology overlap
PT-V4-0010,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 3.12: The Fluidity of Meaning: Polysemy and Context in Celan,19-25,Volumes 1-3,Previously flagged terminology overlaps,Related usage,25 significant examples of linguistic fluidity,"Volume 4 explicitly documents Celan polysemy and context dependence, explaining many earlier overlap flags without erasing them. Earlier tension rows are preserved unchanged.",Needs Human Review,No resolution applied.,PT-V1-0001; PT-V1-0002; PT-V1-0003; PT-V1-0004; PT-V2-0001; PT-V2-0002; PT-V2-0003; PT-V2-0004; PT-V3-0002; PT-V3-0006,related usage,PT-V4-0010,Needs Human Review,terminology overlap
PT-V4-0011,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 4.1-4.2: National Vernaculars,25-29,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha,Expansion,National vernaculars are not separate dialects with unique grammar.,Volume 4 expands Volume 3 national language-use material by defining cultural voices and comparative dialogue patterns. Preserved as expansion.,Needs Human Review,No resolution applied.,CC-V4-0009; CC-V4-0010; PT-V3-0018,expansion,PT-V4-0011,Needs Human Review,possible overlap with earlier rule
