entry_id,source_volume,source_section,page_number,topic,culture_or_context,original_wording,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
CC-V2-0007,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Zarithan (Krez Terra-Vethor),17-18,Zarithan (Krez Terra-Vethor),Food vocabulary by nation,Desert nomads with a focus on spiced and preserved foods.,Canon,Original wording preserved.,,,,Approved,
CC-V2-0008,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Nivveil (Eshor Thalor),18,Nivveil (Eshor Thalor),Food vocabulary by nation,Icy northern regions with hearty and preserved dishes.,Canon,Original wording preserved.,,,,Approved,
CC-V2-0009,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Marakor (Kaleth Rathor),18,Marakor (Kaleth Rathor),Food vocabulary by nation,Mountain strongholds with functional and enduring foods.,Canon,Original wording preserved.,,,,Approved,
CC-V2-0010,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Jasara (Dren Vethor-Shalor),18-19,Jasara (Dren Vethor-Shalor),Food vocabulary by nation,Oasis dwellers with balanced and flavorful cuisine.,Canon,Original wording preserved.,,,,Approved,
CC-V2-0011,Volume 2: Dictionary and Word Formation,Food Vocabulary by Nation > Valkeldor (Morl-Kaleth Thar),19,Valkeldor (Morl-Kaleth Thar),Food vocabulary by nation,Mountain fortress cuisine reflecting resilience and strength.,Canon,Original wording preserved.,,,,Approved,
CC-V2-0012,Volume 2: Dictionary and Word Formation,Weather Terms > Summary Table for Simplified Integration,21-22,Summary Table for Simplified Integration,Seasons and weather summary,"Category / Word / Meaning
Seasons / Zhaelor / Spring (Blooming Season)
Seasons / Fenrek / Summer (Season of Warmth)
Seasons / Tharvin / Autumn (Season of Balance)
Seasons / Velthaen / Winter (Season of Cold)
Atmosphere / Eshthael / Breeze
Atmosphere / Shalithor / Sunlight
Atmosphere / Dralorim / Celestial Storm
Atmosphere / Velarshor / Fog
Precipitation / Drenalor / Rain
Precipitation / Eshvelor / Snowfall
Precipitation / Eshvelaneth / Hailstorm
Other Events / Thalorim / Lightning
Other Events / Krezrek / Heatwave
Other Events / Drenvelesh / Morning Dew",Canon,Source summary table flattened into line-separated rows for CSV.,,,,Approved,
CC-V2-0013,Volume 2: Dictionary and Word Formation,Nuances of Quantification and Specificity > Articles (Definite/Indefinite),22,Articles (Definite/Indefinite),Quantification and specificity,"Decision: Confirming Celan generally lacks specific articles like ""the"" or ""a/an"". Definiteness and indefiniteness are primarily determined by context, word order (VSO often places known info earlier), or specific demonstratives if needed (though none explicitly listed, could be developed).",Canon,"Source contains ""could be developed"" uncertainty; preserved without resolving.",,,PT-V2-0020,Source Ambiguity,source ambiguity
CC-V2-0014,Volume 2: Dictionary and Word Formation,Interjections and Exclamations,23,Interjections and Exclamations,Interjection sound pattern,"These are often short, sharp, or intuitive sounds.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0001,"Volume 3: Culture, Context, and Advanced Expression",Table of Contents: Volume 3 > Volume Description,1,Volume 3 Description,"Culture, context, and advanced expression","This volume explores how Celan functions within the diverse cultures of Ohnosha and delves into more complex linguistic features. It covers politeness, social registers, advanced sentence structures, cultural expressions, kinship systems, ritual language, comparisons to other languages, and concepts for deeper emotional and cultural nuance.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0002,"Volume 3: Culture, Context, and Advanced Expression",Politeness and Honorifics > Cultural Notes,5,Politeness Cultural Notes,Politeness usage,"● Li- is used for politeness with strangers, elders, and officials.
● Overusing Li- may seem insincere; balance is key.
● Honorifics like -en are reserved for highly respected individuals in formal settings.",Canon,Bullet structure preserved.,,,,Approved,
CC-V3-0003,"Volume 3: Culture, Context, and Advanced Expression",Pragmatic Usage and Discourse Markers > Cultural Notes,7,Discourse Marker Cultural Notes,Conversation flow,"● Use discourse markers to convey attitude and facilitate conversation flow.
● Balance their usage to avoid sounding indecisive or pushy.",Canon,Bullet structure preserved.,,,,Approved,
CC-V3-0004,"Volume 3: Culture, Context, and Advanced Expression",Kinship Terms > Updated Kinship Summary Table,12-13,Updated Kinship Summary Table,Kinship summary table,Celan Term / Meaning / Derived From / Example table preserved in lexicon and phrase entries.,Canon,Source table represented as linked lexicon and phrase rows.,,,,Approved,
CC-V3-0005,"Volume 3: Culture, Context, and Advanced Expression",Possession > When to Use Each System?,14,When to Use Each System?,Possession usage,"● ""Ian"" (Direct Possession) → For personal ownership (my love, my home, my heart).
● ""-esh"" (Relational Connection) → For relationships (my partner, my family, my bonded).",Canon,Bullet structure preserved.,,,PT-V3-0012,Needs Human Review,possible overlap with earlier rule
CC-V3-0006,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Overview,17,Language Use Overview,National language use,"Celan is the dominant language across Ohnosha, serving as the universal tongue for communication, trade, and diplomacy. However, regional languages like Arvan and Trerran persist in more remote or culturally distinct areas, reflecting the unique landscapes and traditions of their speakers.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0007,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Language Familiarity by Nation,18,Verdalris,Language familiarity by nation,"Nation: Verdalris
Primary Language: Celan
Familiarity with Arvan: Low to Moderate
Familiarity with Trerran: Low
Notes: Celan used with nature and balance metaphors.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0008,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Language Familiarity by Nation,18,Mechuma,Language familiarity by nation,"Nation: Mechuma
Primary Language: Celan
Familiarity with Arvan: Low
Familiarity with Trerran: Moderate
Notes: Appreciates Trerran's efficiency for trade and engineering.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0009,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Language Familiarity by Nation,18,Pelagae,Language familiarity by nation,"Nation: Pelagae
Primary Language: Celan
Familiarity with Arvan: Moderate
Familiarity with Trerran: Low
Notes: Celan is fluid and poetic, reflecting oceanic life.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0010,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Language Familiarity by Nation,18,Nivveil,Language familiarity by nation,"Nation: Nivveil
Primary Language: Arvan
Familiarity with Arvan: High
Familiarity with Trerran: Very Low
Notes: Arvan is native, used daily and in rituals; Celan also spoken.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0011,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Language Familiarity by Nation,18,Valkeldor,Language familiarity by nation,"Nation: Valkeldor
Primary Language: Arvan & Celan
Familiarity with Arvan: High
Familiarity with Trerran: Low
Notes: Arvan for rituals and warrior oaths; Celan for practical use.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0012,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Language Familiarity by Nation,18,Zarithan,Language familiarity by nation,"Nation: Zarithan
Primary Language: Trerran
Familiarity with Arvan: Low
Familiarity with Trerran: High
Notes: Trerran is native, used for all life aspects; Celan for trade.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0013,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Language Familiarity by Nation,18,Jasara,Language familiarity by nation,"Nation: Jasara
Primary Language: Celan & Trerran
Familiarity with Arvan: Low
Familiarity with Trerran: High
Notes: Trerran used daily; Celan for broader communication.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0014,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Language Familiarity by Nation,18,Marakor,Language familiarity by nation,"Nation: Marakor
Primary Language: Celan
Familiarity with Arvan: Moderate
Familiarity with Trerran: Low
Notes: Celan is dominant; some northern Arvan influence.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0015,"Volume 3: Culture, Context, and Advanced Expression","Language Use Across the Nations of Ohnosha > Comparison Between Celan, Arvan, and Trerran",18-19,"Comparison Between Celan, Arvan, and Trerran",Language comparison,"Feature / Celan / Arvan / Trerran
Primary Regions / Universal across Ohnosha / Northern mountainous regions (Nivveil, Valkeldor) / Southern desert regions (Zarithan, Jasara)
Phonetic Style / Clear, practical with some fluidity / Poetic, flowing, musical / Harsh, direct, guttural
Common Uses / Daily communication, trade, diplomacy / Rituals, oaths, philosophical discussions / Day-to-day survival, oral traditions
Cultural Themes / Clarity, practicality, balance / Mysticism, nature connection, survival / Resilience, resourcefulness, practicality
Typical Phrases / Practical and metaphorical / Poetic and spiritually infused / Minimalist and action-focused
Language Quality / Straightforward and efficient / Mystical and lyrical / Tough and direct",Canon,Source table flattened into line-separated rows for CSV.,,,,Approved,
CC-V3-0016,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Arvan: The Language of the North,19,Arvan: The Language of the North,Regional language,"Overview: Arvan is primarily spoken in the northern and mountainous regions of Ohnosha. The language is poetic and mystically infused, with phrases that emphasize the harsh but awe-inspiring landscapes of the cold north, as well as the people's deep connection to nature and cosmic forces.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0017,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Trerran: The Language of the South,20,Trerran: The Language of the South,Regional language,"Overview: Trerran is spoken in the southern desert regions of Ohnosha. It is a harsh, direct language with clipped consonants and a focus on practicality and survival in the barren, often unforgiving landscapes.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0018,"Volume 3: Culture, Context, and Advanced Expression",Language Use Across the Nations of Ohnosha > Updated Regional Summary Table,24-25,Updated Regional Summary Table,Regional ceremonial terms,"Pelagae / Drenvokesh, Eshlorien / Water Unity, Wave Naming
Verdalris / Terrashaneth, Velpralim / Earth Blessing, Wisdom Transfer
Zarithan / Kreztharim, Zhivokesh / Fire Heart, Bond Renewal
Mechuma / Dralshaneth, Zhirelorim / Heaven's Blessing, Cosmic Coming-of-Age
Valkeldor / Morlatharim, Velmarineth / Stone Heart, Elder's Blessing
Nivveil / Velthaelvok, Eshvelaneth / Winter Unity, Snowstorm Guidance
Jasara / Drenkorath, Shalorveth, Velterim / Oasis Blessing, Shadowlight, Desert Passage
Marakor / Krezmorath, Tharvelim, Kalorinath / Fire Bond, Mountain Ancestor, Fortress Bonding",Canon,Source table flattened into line-separated rows for CSV.,,,,Approved,
CC-V3-0019,"Volume 3: Culture, Context, and Advanced Expression",Slurs for each of the eight nations,25,Slurs Context Note,Interregional tensions and stereotypes,"Below is a summary chart that lists the proposed slurs along with their meanings and a brief note on context. These words are designed to reflect interregional tensions and stereotypes within your world, while remaining consistent with Celan's thematic style.",Canon,Original wording preserved.,,,PT-V3-0017,Source Ambiguity,source ambiguity
CC-V3-0020,"Volume 3: Culture, Context, and Advanced Expression",Numbering System and Basic Math in Celan,29,Numbering System and Basic Math Overview,Numbering and math,The Celan language features a logical and harmonious numeric system that allows for both simple counting and complex mathematical expressions. This guide outlines the numbering system and introduces basic arithmetic concepts such as addition and subtraction.,Canon,Original wording preserved.,,,,Approved,
CC-V3-0021,"Volume 3: Culture, Context, and Advanced Expression",Numbering System and Basic Math in Celan > Summary,31,Numbering and Basic Math Summary,Numbering and math,"Celan's numeric system is intuitive and poetic, built on prefixes like Ten- (tens), Hek- (hundreds), Mel- (thousands), and Fen- (tens of thousands). Arithmetic operations such as addition and subtraction are expressed through additive constructions and the marker Ven placed between number expressions, ensuring clarity and harmony in mathematical communication. This structure not only supports practical counting but also reflects the cultural values of precision and balance inherent in Celan.",Canon,Corrected to match the actual subtraction pattern used elsewhere in the canon data.,,,,Approved,
CC-V3-0022,"Volume 3: Culture, Context, and Advanced Expression",Conclusion > Mastering Celan,32,Mastering Celan,Conclusion,"To master Celan, learners must engage with both its practical grammatical structure and its deep, symbolic ties to Ohnosha's natural and mystical elements. This guide provides a comprehensive framework covering phonetics, grammar, vocabulary, and cultural usage. By following these principles, you can effectively communicate in Celan, whether in casual conversations, formal discourse, or scholarly endeavors.",Canon,Original wording preserved.,,,,Approved,
CC-V3-0023,"Volume 3: Culture, Context, and Advanced Expression",Conclusion > Next Steps,32,Next Steps,Conclusion,"● Practice: Use sample sentences and phrases to build fluency.
● Expand Vocabulary: Refer to the Celan Word List and appendices to learn more words.
● Engage with Culture: Understand how Celan is used across Ohnosha's nations to appreciate its contextual nuances.
Embark on your journey to learn Celan and unlock the ancient wisdom and harmonious balance that this language embodies.",Canon,Bullet structure preserved.,,,,Approved,
CC-V4-0001,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Table of Contents: Volume 4 > Volume Description,1,Volume 4 Description,Official expansion / living document,"This volume serves as the first official expansion to the core Celan language guide. It addresses key linguistic blindspots and provides the necessary vocabulary and grammatical systems to facilitate more grounded, naturalistic, and culturally nuanced storytelling. It details the development of a mundane lexicon for tangible reality, a system for adjectival derivation, advanced grammatical tools for modality, and a practical guide to expressing the distinct cultural voices of Ohnosha's nations. This is a living document, intended to be the foundation for future linguistic growth.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0002,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Systemic Expansion > Section 2.1: The Adjectival Suffix -eth > Cultural Note,2-3,The In-World Connection,Ohnoshan worldview / morphology,"For a native Celan speaker, these two functions are not contradictory but are seen as natural extensions of the same principle. The mundane quality of being Moreth (hard, ""earth-like"") is a physical reflection of the same essential principle honored in the sacred Aen'Moreth (the ritual of speaking to the earth).",Canon,Original wording preserved.,,,,Approved,
CC-V4-0003,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Systemic Expansion > Section 2.2: Subjunctive Mood > Cultural Note,3,Subjunctive Cultural Note,Poetic and ceremonial Celan,"The subjunctive mood is the heart of poetic and ceremonial Celan. Verdalrisians use it frequently in blessings, and it adds a layer of grace and formality to all speech.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0004,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Systemic Expansion > Section 2.3: Passive Voice > Cultural Note,4,Passive Voice Cultural Note,Mythic/formal/evasive usage,"This structure is deeply philosophical. It is common in myths, prophecies, and formal histories where events are presented as having unfolded by the hand of fate. It can also be used by officials to be deliberately evasive, attributing an action to the impersonal ""flow of time"" rather than a specific person.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0005,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Systemic Expansion > Section 2.4: Advanced Pronouns > Cultural Notes,4-5,Advanced Pronouns Cultural Notes,Dual and clusivity,"The dual is used frequently between close partners, spouses (Kalvok), or warriors sworn to each other. Clusivity is a powerful tool for establishing social boundaries. Imen is used by officials, military units, and families to create a clear ""us vs. them"" distinction.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0006,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",The Living Lexicon > Section 3.10: A System of Measurement,15,Measurement System Overview,Measurement,"The system is designed to be intuitive, grounded in natural or physical benchmarks that would be commonly understood across diverse cultures. In written form, compound words are presented as single units.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0007,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech","Section 3.11: Expanded Interjections, Oaths, & Expressions",17,Expanded Interjections Context,Culturally specific expressions,This section expands upon the basic interjections listed in Volume 2 to provide more culturally specific expressions. These phrases are crucial for creating authentic character voices and reflecting the diverse vernaculars of Ohnosha.,Canon,Original wording preserved.,,,,Approved,
CC-V4-0008,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 3.12: The Fluidity of Meaning: Polysemy and Context in Celan,19,Polysemy and Context Overview,Polysemy / linguistic philosophy,"Celan, the universal language of Ohnosha, is not a language of rigid, single-use words. It reflects the dynamic and interconnected nature of the Ohnoshan worldview, where a single core concept can manifest in multiple ways. Many words and roots serve different grammatical functions or carry related shades of meaning, which are made clear through context and Celan's VSO structure.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0009,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 4.1: Introduction to National Vernaculars,25,Introduction to National Vernaculars,National speech / cultural voice,"While Celan serves as the universal tongue of Ohnosha, its application is not monolithic. Generations of use by peoples with diverse histories, environments, and philosophies have given rise to distinct vernaculars, or ""cultural voices."" These are not separate dialects with unique grammar, but rather unique and consistent patterns of vocabulary choice, metaphor, sentence structure, and pragmatic usage that reflect the core values of each nation.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0010,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 4.2: Comparative Dialogue Exercise: The Meeting in the Market,26,Comparative Dialogue Scenario,National speech / comparative dialogue,Scenario: Two friends meet in a neutral market. Speaker A asks Speaker B where they are going. Speaker B responds that they are heading to get a drink because they are thirsty.,Canon,Original wording preserved.,,,,Approved,
CC-V4-0011,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 4.2: Comparative Dialogue Exercise > Zarithan,26-29,Zarithan,National vernacular / cultural lens,"Life in the barren deserts has made the Zarithan people practical, direct, and focused on survival.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0012,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 4.2: Comparative Dialogue Exercise > Verdalrisian,26-29,Verdalrisian,National vernacular / cultural lens,"Deeply connected to the living world, Verdalrisians are lyrical, patient, and speak with natural metaphors.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0013,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 4.2: Comparative Dialogue Exercise > Mechuman,26-29,Mechuman,National vernacular / cultural lens,"Mechumans value efficiency, logic, and purpose.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0014,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 4.2: Comparative Dialogue Exercise > Pelagaean,26-29,Pelagaean,National vernacular / cultural lens,"Fluid, communal, and poetic, the Pelagaean vernacular is filled with metaphors of water, tides, and flow.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0015,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 4.2: Comparative Dialogue Exercise > Valkeldorian,26-29,Valkeldorian,National vernacular / cultural lens,"Their language is strong, resolute, and grounded in stone, mountains, strength, and resilience.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0016,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 4.2: Comparative Dialogue Exercise > Nivveilian,26-29,Nivveilian,National vernacular / cultural lens,"Reserved, patient, and stoic; often understated, emphasizing endurance.",Canon,Original wording preserved.,,,,Approved,
CC-V4-0017,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 4.2: Comparative Dialogue Exercise > Jasaran,26-29,Jasaran,National vernacular / cultural lens,A unique blend of Zarithan practicality and mysticism focused on water and balance.,Canon,Original wording preserved.,,,,Approved,
CC-V4-0018,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Section 4.2: Comparative Dialogue Exercise > Marakorian,26-29,Marakorian,National vernacular / cultural lens,"Similar to Valkeldor but with stronger emphasis on discipline, order, and formality.",Canon,Original wording preserved.,,,,Approved,
CC-S1-0001,Supplement 1: The Rule of Euphony and Historical Variance,Section 5:1: Advanced Phonology - The Rule of Euphony and Historical Variance,1,Supplement 1 Source Framing,Supplemental canon source,"While the foundational phonetics of Celan are detailed in Volume 1, a deeper understanding of the language reveals a sophisticated, aesthetic-driven principle known as the Rule of Euphony (""good sound"").",Canon,User-designated source name used as canonical source_volume. PDF metadata/TOC mismatch tracked separately.,GR-S1-0001; PT-S1-0001,source ambiguity,PT-S1-0001,Source Ambiguity,source ambiguity
CC-S1-0002,Supplement 1: The Rule of Euphony and Historical Variance,The Rule of Euphony: A National Brief,3,National Brief Overview,Cultural voice / advanced phonology,"These are not rigid laws, but strong cultural tendencies that define their unique ""Cultural Voice.""",Canon,Current naming applied: Ohnosha.,GR-S1-0005; CC-V4-0009; PT-V4-0011,expansion,PT-S1-0002; PT-S1-0006,Needs Human Review,possible overlap with earlier rule
CC-S1-0003,Supplement 1: The Rule of Euphony and Historical Variance,The Rule of Euphony: A National Brief > Zarithan,3,Zarithan Euphony Preference,National cultural voice / euphony,"Approach: Pragmatic & Guttural. Brief: The Zarithan care about clarity and efficiency above all else. They will use a euphonic vowel only when a consonant cluster is nearly impossible to pronounce (th-th). Example Preference: Krezthal (harsh), Belshara (standard).",Canon,Original national brief wording condensed only by preserving labeled fields in one row.,GR-S1-0005; CC-S1-0002; CC-V4-0009,expansion,PT-S1-0006,Needs Human Review,possible overlap with earlier rule
CC-S1-0004,Supplement 1: The Rule of Euphony and Historical Variance,The Rule of Euphony: A National Brief > Mechuman,3-4,Mechuman Euphony Preference,National cultural voice / euphony,"Approach: Systematic & Standardized. Brief: The Mechuman apply the Rule of Euphony as it is written in the official guides, with absolute consistency. Example Preference: Morlathar (correct), Belshara (standard).",Canon,Original national brief wording condensed only by preserving labeled fields in one row.,GR-S1-0005; CC-S1-0002; CC-V4-0009,expansion,PT-S1-0006,Needs Human Review,possible overlap with earlier rule
CC-S1-0005,Supplement 1: The Rule of Euphony and Historical Variance,The Rule of Euphony: A National Brief > Valkeldorian,4,Valkeldorian Euphony Preference,National cultural voice / euphony,"Approach: Conservative & Harsh. Brief: The Valkeldorian actively prefer the harder, non-euphonic forms. Example Preference: Krezthal (preferred), Belshara (preferred).",Canon,Original national brief wording condensed only by preserving labeled fields in one row.,GR-S1-0005; CC-S1-0002; CC-V4-0009,expansion,PT-S1-0006,Needs Human Review,possible overlap with earlier rule
CC-S1-0006,Supplement 1: The Rule of Euphony and Historical Variance,The Rule of Euphony: A National Brief > Marakorian,4,Marakorian Euphony Preference,National cultural voice / euphony,"Approach: Formal & Archaic. Brief: The Marakorian have a deep reverence for tradition. Example Preference: Belthal (archaic), Belashara (formal/poetic).",Canon,Original national brief wording condensed only by preserving labeled fields in one row.,GR-S1-0005; CC-S1-0002; CC-V4-0009,expansion,PT-S1-0006,Needs Human Review,possible overlap with earlier rule
CC-S1-0007,Supplement 1: The Rule of Euphony and Historical Variance,The Rule of Euphony: A National Brief > Pelagaean,4,Pelagaean Euphony Preference,National cultural voice / euphony,"Approach: Fluid & Melodic. Brief: The Pelagaean value flow (shalil) in all things, especially speech. Example Preference: Krezathal (preferred), Belashara (preferred).",Canon,Original national brief wording condensed only by preserving labeled fields in one row.,GR-S1-0005; CC-S1-0002; CC-V4-0009,expansion,PT-S1-0006,Needs Human Review,possible overlap with earlier rule
CC-S1-0008,Supplement 1: The Rule of Euphony and Historical Variance,The Rule of Euphony: A National Brief > Verdalrisian,4-5,Verdalrisian Euphony Preference,National cultural voice / euphony,"Approach: Poetic & Harmonious. Brief: Similar to the Pelagaean, the Verdalrisian prize beauty in speech. They are the most likely to use Advanced Euphony (Vowel Harmony). Example Preference: Belashara (preferred), and they would be the ones to say Vokonor.",Canon,Original national brief wording condensed only by preserving labeled fields in one row.,GR-S1-0005; CC-S1-0002; CC-V4-0009,expansion,PT-S1-0006,Needs Human Review,possible overlap with earlier rule
CC-S1-0009,Supplement 1: The Rule of Euphony and Historical Variance,The Rule of Euphony: A National Brief > Nivveilian,5,Nivveilian Euphony Preference,National cultural voice / euphony,"Approach: Patient & Minimalist. Brief: The Nivveilian are people of few words, and they make every sound count. Example Preference: Morlathar (correct), Belshara (standard).",Canon,Original national brief wording condensed only by preserving labeled fields in one row.,GR-S1-0005; CC-S1-0002; CC-V4-0009,expansion,PT-S1-0006,Needs Human Review,possible overlap with earlier rule
