headword,pronunciation,approval_batch,use_type,root_word,meaning,usage_note,derivation,origin_nation,national_usage,variant_forms,variant_pronunciations,related_words,example_celan,example_translation,source_entry_ids
-eth,/-ehth/,,Suffix,,Also used for abstract or ritual nouns,"Ritual/nominal examples: Shal'taleth, Aen'Moreth.",,,,,,Shaleth; Gormeth; Woreth; Kaleth,,,DM-RM-V4-0001
-in,/-een/,,Suffix,,Plural marker added to nouns ending in consonants,,,,,,,Dovin; Felin; Gavin; Nakin; Pralin; Ravwekin; Savin; Serin; Tavojorin; Thaenin; Vekin; Verdin; Zhaelin; Zhirin; Zhivorin,,,DM-RM-V2-0029
-in,/-een/,,Suffix,,"Person or participant connected to a bond, place, or category",Additional participant sense; the existing consonant-noun plural sense remains valid. Interpret the established word in context.,,,,,,Dovin; Felin; Gavin; Nakin; Pralin; Ravwekin; Savin; Serin; Tavojorin; Thaenin; Vekin; Verdin; Zhaelin; Zhirin; Zhivorin,,,DM-RM-V2-0029
-ka,/-kah/,,Particle,,Possessive/linking marker,Always hyphenated to the possessor: Ilin-ka emil (our meal); La-ka kelvor (their mouth). Standalone ka means without or no.,,,,,,Kelka; nor-ka,,,DM-RM-V1-0014
-lin,/-leen/,,Suffix,,Collective/Diminutive,,,,,,,Eshlin; Kinnlin,,,DM-RM-V2-0033
-n,/-n/,,Suffix,,Plural marker added to nouns ending in vowels,,,,,,,,,,DM-RM-V2-0030
-or,/-ohr/,,Suffix,,Place/Location,,,,,,,Aenor; Anor; Arthlor; Belor; Belzhirkavor; Eshpralor; Ilinor; Krezor; Liankavor; Lianor; Mahrpralor; Mahrxaror; Mekor; Mekpralor; Nalior; Ndavior; Nethor; Norpralor; Numor; Pralor; Rimor; Savor; Shenkesor; Shenpralor; Thalor; Thalorimor; Trakor; Varbelor; Vekpralor; Vekxaror; Velkelor; Welpralor; Xaror; Xarphelor; Xarwelor,,,DM-RM-V2-0031
-vel,/-vehl/,,Suffix,,Bread shared among us,,,,,,,,,,DM-RM-V3-0013
Aelin,/ah-eh-leen/,Dictionary Review 1,Noun,,Youth / Young person / Student / Pupil,,Ael young/growing + -in individual participant.,,,,,,noraen liorin aelin.,The teacher instructs the pupil.,LX-DR1-0017
Aen,/ah-ehn/,,Verb,,Speak / Tell / Breathe,"Formal/poetic use: deeper or ritual speaking. Use in rituals, court, formal address, writing, and when emphasizing depth. Combine with Li- / -en.",,,,,,Aenaen; Aenor; Aenvor,aen serathrin ser khumrel.,The confidant speaks with compassion.,LX-V2-0028; LX-V2-0062; LX-V3-0009; LX-V4-0102; DM-RM-V3-0005
Aen,/ah-ehn/,,Conjunction,,That,,,,,,,Aenaen; Aenor; Aenvor,aen serathrin ser khumrel.,The confidant speaks with compassion.,LX-V2-0028; LX-V2-0062; LX-V3-0009; LX-V4-0102; DM-RM-V3-0005
Aen,/ah-ehn/,,Suffix,,-aen (verb-forming),,,,,,,Aenaen; Aenor; Aenvor,aen serathrin ser khumrel.,The confidant speaks with compassion.,LX-V2-0028; LX-V2-0062; LX-V3-0009; LX-V4-0102; DM-RM-V3-0005
Aen,/ah-ehn/,,Noun,,Breath of Life,,,,,,,Aenaen; Aenor; Aenvor,aen serathrin ser khumrel.,The confidant speaks with compassion.,LX-V2-0028; LX-V2-0062; LX-V3-0009; LX-V4-0102; DM-RM-V3-0005
Aen-,/ah-ehn-/,,Verb,,"To speak, breathe, make a sound; also complementizer that.",Refines Aen/Aenor polysemy and complementizer usage; no resolution applied.,,,,,,Aen; Aenaen; Aennor; Aenor; Aentash; Aenthael; Aenzhir; Rinaen; Thalaneshen,,,DM-RM-S3-0019
Aen'Moreth,/ah-ehn'moh-rehth/,,Noun,,Breath-into-Stone Ritual.,,,,,,,,,,LX-V3-0077
Aenaen,/ah-ehnah-ehn/,,Verb,Aen,"To Hear, To perceive sound",Aen (speak/breath) + -aen,,,,,,Aen; Aen-; Aennor; Aenor; Aentash; Aenthael; Aenzhir; Rinaen; Thalaneshen,Aenaen I eshlin an zhaelin.,I hear the bird in the flower.,LX-V4-0048
Aennor,/ah-ehn-nohr/,"Performance, Story Arts, and Celebration 1",Noun,Aen; NOR,Music; intentionally organized sound unfolding through time,,Canonical Aen sound or breath + Nor time,,,,,Aen; Nor; Aennoraen; Aen-; Athnor; Aennorral; Aenaen; Belnoraen; Aenor; Delnor; Aentash; Eshnor; Aenthael; Eshweknor; Aenzhir; Felnor; Rinaen; Jornor; Thalaneshen; Nethnor; nor-ka; Noraen; Noral; Normav; Normek; Norpral; Norreth; Norshan; Norzhir; Pelnor; Rathnor; Sernor; Shalnor; Thalnor; Thalnoraen; Varnor; Velnor; Vethnor; Weknor; Xilnor,sharaen thaelral thael aennor.,The dancer follows the rhythm of the music.,LX-PSAC1-0001
Aennoraen,/ah-ehn-noh-rah-ehn/,"Performance, Story Arts, and Celebration 1",Verb,,To make play or perform music,,Aennor music + -aen verb,,,,,Aennor; Aennorral,aennoraen aennorral an rimor.,The musician performs music at the festival.,LX-PSAC1-0002
Aennorral,/ah-ehn-nohr-rahl/,"Performance, Story Arts, and Celebration 1",Noun,RAL,Musician; a person with a practiced role making or performing music,,Aennor music + Ral practiced role,,,,,Ral; Aennor; Aenthaelral; Aennoraen; Balral; Belvethral; Belzorral; Dovhavral; Droral; Eshlorral; Gavral; Karthaelral; Kavral; Kelvekral; Khumkelral; Krenral; Lorbelral; Lormekral; Lorvekral; Mekral; Mormekral; Naklorral; Neshbrenral; Nkural; Norpralral; Pralral; Rinpralral; Shenral; Thaelral; Vethral; Xarvethral; Zhaelral; Zhirkelral,aennoraen aennorral aennor.,The musician performs music.,LX-PSAC1-0003
Aenor,/ah-ehnohr/,,Noun,Aen,Ear,,,,,,,Aen; Aen-; Aenaen; Aennor; Aentash; Aenthael; Aenzhir; Rinaen; Thalaneshen,Nor-var I an aenor.,I will go in a moment.,LX-V2-0049; LX-V4-0081; LX-V4-0107
Aenor,/ah-ehnohr/,,Noun,Aen,Moment / Instant,,,,,,,Aen; Aen-; Aenaen; Aennor; Aentash; Aenthael; Aenzhir; Rinaen; Thalaneshen,Nor-var I an aenor.,I will go in a moment.,LX-V2-0049; LX-V4-0081; LX-V4-0107
Aentash,/aehn-tahsh/,"Body, Internal Anatomy, and Ordinary Bodily Functions 1",Noun,TASH; Aen,Lung; a breathing or gas-exchange organ,,Aen breath + Tash organ,,,,,Tash; Aen; Emiltash; Aen-; Aenaen; Aennor; Aenor; Aenthael; Aenzhir; Rinaen; Thalaneshen,aivaen aentash thal mura.,The lung hurts from smoke.,LX-BIAOBF1-0022
Aenthael,/ah-ehn-thah-ehl/,"Performance, Story Arts, and Celebration 1",Noun,Aen; THAEL,A song; a bounded vocal or musical composition organized by rhythm,,Aen voice or sound + Thael rhythm,,,,,Aen; Thael; Aenthaelaen; Aen-; Eshthael; Aenthaelral; Aenaen; Karthael; Welaenthael; Aennor; Thaelaen; Aenor; Thaelral; Aentash; Velthaelvok; Aenzhir; Rinaen; Thalaneshen,aenthaelaen aenthaelral aenthael.,The singer sings the song.,LX-PSAC1-0005
Aenthaelaen,/ah-ehn-thah-ehl-ah-ehn/,"Performance, Story Arts, and Celebration 1",Verb,,To sing,,Aenthael song + -aen verb,,,,,Aenthael; Aenthaelral; Welaenthael,aenthaelaen welaenthael servok.,The chorus sings together.,LX-PSAC1-0006
Aenthaelral,/ah-ehn-thah-ehl-rahl/,"Performance, Story Arts, and Celebration 1",Noun,RAL,Singer; a person with a practiced singing role,,Aenthael song + Ral practiced role,,,Aenthaelaral,/ah-ehn-thah-ehl-ah-rahl/,Ral; Aenthael; Aennorral; Aenthaelaen; Balral; Welaenthael; Belvethral; Belzorral; Dovhavral; Droral; Eshlorral; Gavral; Karthaelral; Kavral; Kelvekral; Khumkelral; Krenral; Lorbelral; Lormekral; Lorvekral; Mekral; Mormekral; Naklorral; Neshbrenral; Nkural; Norpralral; Pralral; Rinpralral; Shenral; Thaelral; Vethral; Xarvethral; Zhaelral; Zhirkelral,aenthaelaen aenthaelral an norpralor.,The singer sings on the stage.,LX-PSAC1-0007
Aenvor,/ah-ehnvohr/,,Noun,,Nose,,,,,,,,,,LX-V2-0050
Aenzhir,/ah-ehn-zheer/,"Performance, Story Arts, and Celebration 1",Noun,Aen; ZHIR,Melody or musical line; a connected path of sound through time,,Aen sound + Zhir connected thread through time,,,,,Aen; Zhir; Aen-; Zhir-; Aenaen; Belzhir; Aennor; Belzhirkavor; Aenor; Emilzhir; Aentash; Felzhir; Aenthael; Jekzhirvek; Rinaen; Kavelzhiraen; Thalaneshen; Krenzhir; Lianzhir; Lorzhir; Morlzhir; Ngarzhir; Norzhir; Nyelzhir; Selzhir; Shenzhir; Velzhiraen; Verdselzhir; Xarzhir; Zharin; Zhirath; Zhirbel; Zhirelorim; Zhiren; Zhirin; Zhirkalor; Zhirkel; Zhirkor; Zhirnyel; Zhirpel; Zhirrathor; Zhirshara; Zhirvek; Zhirverd; Zhirvok; Zhivor; Zhivorin,sharaen aenthaelral aenzhir.,The singer follows the melody.,LX-PSAC1-0014
Aiv,/ah-eev/,Domestic and Sensory Life 1,Noun,,Bodily pain or physical hurting without specifying its cause or intensity,,,,,,,Aivaen; Aivkor; Pelaivaen; Rekaivaen,rinaen aiv an korin-ian.,There is pain in my hand.,LX-DSL1-0015; XR-aiv
Aivaen,/ah-ee-vah-ehn/,Domestic and Sensory Life 1,Verb,AIV,To ache or hurt with a dull continuing bodily pain,,Aiv + -aen,,,,,Aiv; Aivkor; Pelaivaen; Rekaivaen,aivaen korin-ian.,My hand aches.,LX-DSL1-0016
Aivkor,/ah-eev-kohr/,Domestic and Sensory Life 1,Noun,AIV; KOR,A bounded bodily wound or injured place; localized physical damage rather than pain itself,,Aiv + Kor,,,Aivakor,/ah-ee-vah-kohr/,Aiv; Kor; Aivkorxar; Aivaen; Belkor; Velaivkor; Pelaivaen; Belkoraen; Rekaivaen; Drenkor; Drenkorath; Ekor; Jelkor; Korin; Korkalvar; Kormek; Kormor; Kornali; Korpir; Korsharvar; Korwek; Shalkor; Vorkor; Zhelkor; Zhirkor,rinaen aivkor an korin-ian.,The wound is on my hand.,LX-DSL1-0039
Aivkorxar,/ah-eev-kohr-xahr/,"Health, Treatment, and Survival 1",Noun,XAR,Bandage or wound dressing; a covering placed over an injured bodily site to protect it or support healing,,Aivkor wound + Xar protective covering,,,Aivakorxar,/ah-ee-vah-kohr-xahr/,Xar; Aivkor; Aneshxar; Velaivkor; Arthaxar; Belxar; Davaxar; Dralxar; Eshxar; Kaxaraen; Kesxar; Korinxar; Lianrethxar; Lorinorxar; Lorinshalxar; Mahrxaror; Mahrxarvek; Mavbalxar; Nderuxar; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,dor zhaelral aivkorxar an aivkor.,The healer puts a bandage on the wound.,LX-HTS1-0021
Alor,/ah-lohr/,,Verb,,Falling; descent; downward motion,"Builds words for falling, descent, and downward movement from air to ground.",,,,,,Aloraen; Drenalor,,,XR-alor
Aloraen,/ah-loh-rah-ehn/,Conversational Narrative Engine 1,Verb,ALOR,To drop release downward or let fall,,Alor + -aen,,,,,Alor; Drenalor,aloraen I kareth.,I drop the hammer.,LX-CNE1-0004
Amthaen,/ahmthah-ehn/,,Interjection,THAEN,"Friendly ""Hi""",,,,,,,Thaen; Thaenbel; Thaenin; Thaenohm; Velthaen,,,LX-V2-0012
An,/ahn/,,Preposition,,"At, in (place)",Varan I an Varthas.,,,,,,Andavaen; Aneshxar; Anmek; Anor; Anshanaen; Anvanesh; Anvekaen; Kaan; Lorzhiranshan; Varan,var I an dren.,I go to the water.,LX-V1-0019; DM-RM-V1-0013
An,/ahn/,,Preposition,,Spatial contexts (“at/in” location),Preserved as standalone root/morpheme because source clearly defines it.,,,,,,Andavaen; Aneshxar; Anmek; Anor; Anshanaen; Anvanesh; Anvekaen; Kaan; Lorzhiranshan; Varan,var I an dren.,I go to the water.,LX-V1-0019; DM-RM-V1-0013
Andavaen,/ahn-dah-vah-ehn/,"Information, Computation, Automation, and Electrical Systems 1",Verb,DAVA; An,To upload; to transfer information into a remote shared or receiving system,,An inward relation + Dava information + -aen verb,,,,,Dava; An; Beldava; Aneshxar; Davapral; Anmek; Davashanaen; Anor; Davaxar; Anshanaen; Deldavaen; Anvanesh; Kavdava; Anvekaen; Kavdavaen; Kaan; Kavdeldava; Lorzhiranshan; Kaxardavaen; Varan; Kesdava; Kesdavaen; Rethdava; Rethzheldava; Shendava; Thaldavaen; Xardava; Xardavaen; Zheldava,deldavaen I davaxar; andavaen I la an belzhir.,I copy the file and upload it to the network.,LX-ICAES1-0023
Anen,/ah-nehn/,,Possessive,,Your / Direct Possession marker,,,,,,,,,,LX-V3-0062
Aneshxar,/ahn-ehsh-xahr/,Built Spaces and Public Infrastructure 1,Noun,An; ESH; XAR,Ceiling; the interior upper surface of a room,,An within + Esh above + Xar cover,,,Aneshaxar,/ahn-eh-shah-xahr/,An; Esh; Xar; Andavaen; Esh-; Aivkorxar; Anmek; Drenesh; Arthaxar; Anor; Drenvelesh; Belxar; Anshanaen; Drenvokesh; Davaxar; Anvanesh; Esharu; Dralxar; Anvekaen; Eshdren; Eshxar; Kaan; Eshdrenaen; Kaxaraen; Lorzhiranshan; Eshjor; Kesxar; Varan; Eshkar; Korinxar; Eshkrezaen; Lianrethxar; Eshlin; Lorinorxar; Eshlor; Lorinshalxar; Eshlorien; Mahrxaror; Eshlorral; Mahrxarvek; Eshmekor; Mavbalxar; Eshnor; Nderuxar; Eshpral; Remashalxar; Eshpralaen; Remaxar; Eshpralor; Vekxaror; Eshtenor; Velxar; Eshthael; Verdxar; Eshtrakor; Wekxar; Eshvan; Xaraen; Eshvaraen; Xardava; Eshvek; Xaresh; Eshvelaneth; Xarfelvin; Eshvelor; Xarkaleth; Eshvilor; Xarkrezaen; Eshweknor; Xarlorin; Xarmetha; Kalvokesh; Xarmorl; Mekeshpral; Xarnesh; Pralvokesh; Xaror; Terraesh; Xarphelor; Xarrin; Zhivokesh; Xarvek; Zunesh; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,rinaen shalkor an aneshxar.,The lamp is on the ceiling.,LX-BSPI1-0005
Anmek,/ahn-mehk/,"Information, Computation, Automation, and Electrical Systems 1",Noun,An; MEK,Input; information energy material or instruction supplied into a system for operation or processing,,An inward or at-in relation + Mek constructed system,,,,,An; Mek; Andavaen; Belmek; Aneshxar; Belpralmek; Anor; Drojormek; Anshanaen; Felmek; Anvanesh; Jekmek; Anvekaen; Kalmek; Kaan; Karmek; Lorzhiranshan; Kesmek; Varan; Kormek; Lormek; Lormekral; Mekaru; Mekeshpral; Mekkes; Mekor; Mekpralor; Mekral; Mekrask; Mekreth; Mekshara; Mormek; Nethmek; Normek; Rakumek; Rinmek; Selmek; Shanmek; Shenmek; Thalmek; Varokmek; Varshanmek; Velmek; Wekmek; Zhelvek,rinaen anmek an ohmshan.,The input is at the interface.,LX-ICAES1-0009
Anor,/ahn-ohr/,Spatial Reference and Deixis 1,Noun,An,Interior or inside area of a bounded place object or region,,An in or at + -or place or domain,,,,,An; Andavaen; Aneshxar; Anmek; Anshanaen; Anvanesh; Anvekaen; Kaan; Lorzhiranshan; Varan,va dar Ya an anor nor eshjor.,Wait inside during the gale.,LX-SRD1-0007
Anshanaen,/ahn-shahn-ah-ehn/,Spatial Reference and Deixis 1,Verb,An; SHAN,To enter; to cross a boundary from outside to inside a place,,An inward + Shan boundary passage + -aen verb,,,,,An; Shan; Andavaen; Balshan; Aneshxar; Belshan; Anmek; Davashanaen; Anor; Dralshaneth; Anvanesh; Emilshan; Anvekaen; Lorzhiranshan; Kaan; Lorzhirthalshan; Mavbalshanaen; Varan; Mavbalshaneth; Morlshan; Ndemshan; Nokashan; Norshan; Ohmshan; Ravshan; Selshan; Shalshan; Shanartheth; Shankalaen; Shanmek; Shanmorl; Shannali; Shantham; Shanvelrathor; Shanvelzhiraen; Terrashaneth; Thalshanaen; Urenshan; Vaarshan; Varshanmek; Velpralim; Worshankal; Zhelshan; Zhelshaneth,va anshanaen Ya xaror.,Come inside the room.,LX-SRD1-0009
Anvanesh,/ahn-vah-nehsh/,Work Roles and Trade 1,Verb,An; VANESH,To buy; to acquire goods access or services into one's possession through payment,,An inward or into one's sphere + Vanesh formal trade,,,,,An; Vanesh; Andavaen; Thalaneshen; Aneshxar; Thalvanesh; Anmek; Vaneshem; Anor; Anshanaen; Anvekaen; Kaan; Lorzhiranshan; Varan,anvanesh I trakor.,I buy boots.,LX-WRT1-0010
Anvekaen,/ahn-vehk-ah-ehn/,Transportation and Vehicle Operations 1; Semantic Continuity and Polysemy 1,Verb,An; VEK,To board; to enter or mount a vehicle vessel or transport animal for travel,,An in or at + Vek carrier + -aen,,,,,An; Vek; Andavaen; Balvek; Aneshxar; Belvekaen; Anmek; Dorvekaen; Anor; Drenkavvek; Anshanaen; Eshvek; Anvanesh; Felvek; Kaan; Jekzhirvek; Lorzhiranshan; Karvek; Varan; Kavvek; Kelvekral; Kormekvek; Krenzhirvek; Krezdrenvek; Krezvek; Lorvekaen; Lorvekral; Mahrvek; Mahrxarvek; Morvek; Ndavivek; Nethvek; Ngarvek; Pralvek; Ravjorvek; Ravvekaen; Rinvek; Shalilvek; Thalvekaen; Thamvek; Urenvek; Varvek; Vekaen; Vekin; Vekmor; Vekpralor; Vekvaraen; Vekxaror; Welvek; Xarvek; Zhelvek; Zhirvek,anvekaen I belzhirvek.,I board the train.,LX-TVO1-0021; LX-SCP1-0002
Anvekaen,/ahn-vehk-ah-ehn/,Transportation and Vehicle Operations 1; Semantic Continuity and Polysemy 1,Verb,An; VEK,To load cargo; to put goods or material aboard or into transport in preparation for travel,,An in or at + Vek carrier + -aen,,,,,An; Vek; Andavaen; Balvek; Aneshxar; Belvekaen; Anmek; Dorvekaen; Anor; Drenkavvek; Anshanaen; Eshvek; Anvanesh; Felvek; Kaan; Jekzhirvek; Lorzhiranshan; Karvek; Varan; Kavvek; Kelvekral; Kormekvek; Krenzhirvek; Krezdrenvek; Krezvek; Lorvekaen; Lorvekral; Mahrvek; Mahrxarvek; Morvek; Ndavivek; Nethvek; Ngarvek; Pralvek; Ravjorvek; Ravvekaen; Rinvek; Shalilvek; Thalvekaen; Thamvek; Urenvek; Varvek; Vekaen; Vekin; Vekmor; Vekpralor; Vekvaraen; Vekxaror; Welvek; Xarvek; Zhelvek; Zhirvek,anvekaen I belzhirvek.,I board the train.,LX-TVO1-0021; LX-SCP1-0002
Ar,/ahr/,,Particle,,"Intensifier - very, intensely",Place after the verb/adjective. Fahaen I ar! (I am terrified!).,,,,,,Belar,Fahaen I ar!,I am terrified!,LX-V3-0015; DM-RM-V3-0003
Arshor,/ahrshohr/,,Noun,,Enveloping presence; atmospheric blanket,"Builds words for mist, envelopment, atmospheric covering, and presence that surrounds a space.",,,,,,Rinarshor; Velarshor,var dralfel an Arshor; shal krezdralfel.,The meteoroid enters the atmosphere; the meteor shines.,XR-arshor
Arth,/ahrth/,,Verb,,Protect / Defend,,,,,,,Arthaxar; Arthen; Arthkal; Arthkaraen; Arthlor; Arthrin; Arthverd; Arthzhelshara; Drenartheth; Kaarthaen; Shanartheth; Welarth,arth droral drobel.,The water keeper protects the waterworks.,LX-V2-0030; XR-arth
Arthaxar,/ahrth-ah-xahr/,National Expansion 1,Noun,ARTH; XAR,Armor; purpose-built protective covering,,Arth + Xar,Valkeldor,Protective covering worn or fitted against physical harm.,Arthxar,/ahrth-xahr/,Arth; Xar; Arthen; Aivkorxar; Arthkal; Aneshxar; Arthkaraen; Belxar; Arthlor; Davaxar; Arthrin; Dralxar; Arthverd; Eshxar; Arthzhelshara; Kaxaraen; Drenartheth; Kesxar; Kaarthaen; Korinxar; Shanartheth; Lianrethxar; Welarth; Lorinorxar; Lorinshalxar; Mahrxaror; Mahrxarvek; Mavbalxar; Nderuxar; Remashalxar; Remaxar; Vekxaror; Velxar; Verdxar; Wekxar; Xaraen; Xardava; Xaresh; Xarfelvin; Xarkaleth; Xarkrezaen; Xarlorin; Xarmetha; Xarmorl; Xarnesh; Xaror; Xarphelor; Xarrin; Xarvek; Xarvel; Xarvethral; Xarwelor; Xarzhir; Zhelxar; Zorxar,rinaen pral an arthaxar.,There is detail in the armor.,LX-NE1-0030
Arthen,/ahrthehn/,,Noun,ARTH,Destiny / Purpose,,,,,,,Arth; Arthaxar; Arthkal; Arthkaraen; Arthlor; Arthrin; Arthverd; Arthzhelshara; Drenartheth; Kaarthaen; Shanartheth; Welarth,Var Shara ser Arthen.,One's choices shape their destiny; the journey is tied to purpose.,LX-V2-0035
Arthen'taleth,/ahrthehn'tah-lehth/,,Noun,,Sacrifice for Destiny Ritual (noun).,,,,,,,,,,LX-V3-0086
Arthkal,/ahrth-kahl/,Defense and Weapons 1,Noun,ARTH; KAL,Shield; a handheld worn generated or projected defensive barrier that intercepts or deflects attack,,Arth defense + Kal force or strength,,,Arthakal,/ahr-thah-kahl/,Arth; Kal; Arthaxar; Kal-; Arthen; Felkal; Arthkaraen; Jekkal; Arthlor; Jorkal; Arthrin; Kalaru; Arthverd; Kalbelrin; Arthzhelshara; Kaldov; Drenartheth; Kaleth; Kaarthaen; Kalkel; Shanartheth; Kalmek; Welarth; Kalmetha; Kalmorl; Kalorinath; Kalrath; Kalrav; Kalrin; Kalshen; Kalvok; Kalvokesh; Kalwek; Mahrkal; Morkal; Rethkal; Serenkal; Shankalaen; Tirkal; Worshankal; Zhirkalor,arth arthkal seren thal ravjorvek.,The shield protects the guardian from the arrow.,LX-DW1-0006
Arthkaraen,/ahrth-kahr-ah-ehn/,Organized Conflict 1,Verb,ARTH; KAR,To block or parry; to intercept stop or turn aside an incoming strike projectile or directed attack,,Arth defense + Kar strike or applied force + -aen verb,,,Arthakaraen,/ahr-thah-kahr-ah-ehn/,Arth; Kar; Arthaxar; Eshkar; Arthen; Kareth; Arthkal; Karethaen; Arthlor; Karjor; Arthrin; Karmek; Arthverd; Karthael; Arthzhelshara; Karvek; Drenartheth; Morkar; Kaarthaen; Pelkar; Shanartheth; Ravkar; Welarth; Thamkar; Vorkaral,arthkaraen seren ravjorvek ser arthkal.,The guardian blocks the arrow with a shield.,LX-OC1-0009
Arthlor,/ahrthlohr/,,Noun,ARTH,Defensive Formation / Shield Wall / Fortified Position. Refers to holding a defensive position or a specific coordinated defensive setup.,Arth (protect/defend) + -or (place/location),,,,,,Arth; Arthaxar; Arthen; Arthkal; Arthkaraen; Arthrin; Arthverd; Arthzhelshara; Drenartheth; Kaarthaen; Shanartheth; Welarth,Var Seren arthlor an Kaleth.,The Guardians go to the defensive formation at the Fortress.,LX-V2-0128
