entry_id,source_volume,source_section,page_number,root_or_morpheme,type,meaning_or_function,derived_forms,original_wording,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
RM-V2-0007,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Phel,Root,Warmth or comfort (symbolizing physical or emotional ease).,Phelvin,Phel: Warmth or comfort (symbolizing physical or emotional ease).,Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0008,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Prak,Root,"Softness or tenderness (e.g., soft food or texture).",Prakorin,"Prak: Softness or tenderness (e.g., soft food or texture).",Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0009,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Pel,Root,"Sharpness or clarity (symbolizing clean cuts, flavors, or piercing qualities).",Pelvar; Peldren,"Pel: Sharpness or clarity (symbolizing clean cuts, flavors, or piercing qualities).",Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0010,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Pral,Root,"Intricacy or detail (symbolizing small, delicate work).",Pralmor,"Pral: Intricacy or detail (symbolizing small, delicate work).",Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0011,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Jor,Root,Surge or burst (symbolizing sudden movements or energetic flows).,Jorlin; Jorvak,Jor: Surge or burst (symbolizing sudden movements or energetic flows).,Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0012,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Jek,Root,Spiral or twist (symbolizing swirling patterns or dynamic shapes).,Jekvor,Jek: Spiral or twist (symbolizing swirling patterns or dynamic shapes).,Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0013,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Jel,Root,Flavor or zest (bright taste or sensory experience).,Jelvor,Jel: Flavor or zest (bright taste or sensory experience).,Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0014,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Jin,Root,"Unique or rare (e.g., exotic or specialty foods).",Jindral,"Jin: Unique or rare (e.g., exotic or specialty foods).",Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0015,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Wel,Root,"Sharing or unity (emphasizing communal aspects, symbolizing seamless connections or unbroken lines).",Welrim; Welmor,"Wel: Sharing or unity (emphasizing communal aspects, symbolizing seamless connections or unbroken lines).",Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0016,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Wek,Root,Circularity or cycles (symbolizing completeness or renewal).,Weknor,Wek: Circularity or cycles (symbolizing completeness or renewal).,Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0017,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Wor,Root,Abundance or plenty (symbolizing generosity or surplus).,Worvenak,Wor: Abundance or plenty (symbolizing generosity or surplus).,Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0018,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Xil,Root,Hidden or secret (used for foods with a mysterious origin or preparation).,Xilvar,Xil: Hidden or secret (used for foods with a mysterious origin or preparation).,Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0019,Volume 2: Dictionary and Word Formation,Vocabulary > Expanded Vocabulary,8-10,Xar,Root,Shadow or cover (tied to concealed or protective qualities).,Xarvel,Xar: Shadow or cover (tied to concealed or protective qualities).,Canon,Original expanded vocabulary root preserved.,,,,Approved,
RM-V2-0020,Volume 2: Dictionary and Word Formation,Vocabulary > Root Words in Celan,10,Nk-,Root,"Endurance, hidden strength","Nkathal (sadness), Nkuraeth (to comfort), Nkuthar (to forgive).","Nk- Endurance, hidden strength Nkathal (sadness), Nkuraeth (to comfort), Nkuthar (to forgive).",Canon,Original root chart row preserved.,,,,Approved,
RM-V2-0021,Volume 2: Dictionary and Word Formation,Vocabulary > Root Words in Celan,10,Rav-,Root,"Pull, yearning","Ravokha (desire), Ravialor (a place of longing).","Rav- Pull, yearning Ravokha (desire), Ravialor (a place of longing).",Canon,Original root chart row preserved.,,,,Approved,
RM-V2-0022,Volume 2: Dictionary and Word Formation,Vocabulary > Root Words in Celan,10,Mb-,Root,"Layered, supportive","Mbalor (fear), Mbalan (pillar of community), Mbanoth (nurturing figure).","Mb- Layered, supportive Mbalor (fear), Mbalan (pillar of community), Mbanoth (nurturing figure).",Canon,Original root chart row preserved.,,,,Approved,
RM-V2-0023,Volume 2: Dictionary and Word Formation,Vocabulary > Root Words in Celan,10,Tla-,Root,"Close, intimate connection","Tlavor (anticipation), Tlakorin (confidant), Tlakhura (unspoken bond).","Tla- Close, intimate connection Tlavor (anticipation), Tlakorin (confidant), Tlakhura (unspoken bond).",Canon,Original root chart row preserved.,,,,Approved,
RM-V2-0024,Volume 2: Dictionary and Word Formation,Vocabulary > Root Words in Celan,10,Ohm-,Root,"Connection, unity","Ohmavin (tenderness), Ohmbaen (beloved), Ohmakath (to foster connection).","Ohm- Connection, unity Ohmavin (tenderness), Ohmbaen (beloved), Ohmakath (to foster connection).",Canon,Original root chart row preserved.,,,,Approved,
RM-V2-0025,Volume 2: Dictionary and Word Formation,Vocabulary > Root Words in Celan,10,Khum-,Root,"Circle, reconciliation","Khumlor (family), Khumlian (reconciliation), Khumrel (to listen deeply).","Khum- Circle, reconciliation Khumlor (family), Khumlian (reconciliation), Khumrel (to listen deeply).",Canon,Original root chart row preserved.,,,,Approved,
RM-V2-0026,Volume 2: Dictionary and Word Formation,Vocabulary > Root Words in Celan,10,Zhae-,Root,"Light, empathy","Zhaenok (connection through empathy), Zhaenath (to speak openly).","Zhae- Light, empathy Zhaenok (connection through empathy), Zhaenath (to speak openly).",Canon,Original root chart row preserved.,,,,Approved,
RM-V2-0027,Volume 2: Dictionary and Word Formation,Vocabulary > Root Words in Celan,10,Nku-,Root,"Hidden, nurturing","Nkural (mentor), Nkuvath (promise), Nkuthan (resolved calm).","Nku- Hidden, nurturing Nkural (mentor), Nkuvath (promise), Nkuthan (resolved calm).",Canon,Original root chart row preserved.,,,,Approved,
RM-V2-0028,Volume 2: Dictionary and Word Formation,Vocabulary > Root Words in Celan,10,Tl-,Root,"Movement, flow","Tlenav (joy), Tlekhamin (to share a journey).","Tl- Movement, flow Tlenav (joy), Tlekhamin (to share a journey).",Canon,Original root chart row preserved.,,,,Approved,
RM-V2-0029,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Pluralization,13,-in,Suffix,Plural marker added to nouns ending in consonants,Serin; Tharin; Eshin; Drenin,-in is added to nouns ending in consonants.,Canon,Original root/morpheme entry preserved.,GR-V2-0001,related usage,,Approved,
RM-V2-0030,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Pluralization,13,-n,Suffix,Plural marker added to nouns ending in vowels,Teran,-n is added to nouns ending in vowels.,Canon,Original root/morpheme entry preserved.,GR-V2-0001,related usage,,Approved,
RM-V2-0031,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Derivation and Word Formation,14,-or,Suffix,Place/Location,Shal + or = Shalor (sanctuary/light place),-or: Place/Location / Shal + or = Shalor (sanctuary/light place),Canon,Original root/morpheme entry preserved.,GR-V2-0002,related usage,,Approved,
RM-V2-0032,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Derivation and Word Formation,14,-en,Suffix,Honorific/Respected form,Liorin + en = Liorinen (honored elder/teacher),-en: Honorific/Respected form / Liorin + en = Liorinen (honored elder/teacher),Canon,Original root/morpheme entry preserved.,GR-V2-0002,related usage,,Approved,
RM-V2-0033,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Derivation and Word Formation,14,-lin,Suffix,Collective/Diminutive,Elin = child; Ilin = we,-lin: Collective/Diminutive / Elin = child; Ilin = we,Canon,Original root/morpheme entry preserved.,GR-V2-0002,related usage,,Approved,
RM-V2-0034,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Derivation and Word Formation,14,-aen,Suffix,Verb-forming,Lian (truth) → Lianaen (to speak truth),-aen: Verb-forming / Lian (truth) → Lianaen (to speak truth),Canon,Original root/morpheme entry preserved.,GR-V2-0002,related usage,,Approved,
RM-V2-0035,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Derivation and Word Formation,14,Tha-,Prefix,Past tense,,Tha-: Past tense,Canon,Original root/morpheme entry preserved.,GR-V2-0002,related usage,,Approved,
RM-V2-0036,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Derivation and Word Formation,14,Nor-,Prefix,Future tense,,Nor-: Future tense,Canon,Original root/morpheme entry preserved.,GR-V2-0002,related usage,PT-V2-0001,Needs Human Review,terminology overlap
RM-V2-0037,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Derivation and Word Formation,14,Ver-,Prefix,Negation,,Ver-: Negation,Canon,Original root/morpheme entry preserved.,GR-V2-0002,related usage,,Approved,
RM-V2-0038,Volume 2: Dictionary and Word Formation,Word Formation and Morphology > Derivation and Word Formation,14,Li-,Prefix,Respect/Honorific,,Li-: Respect/Honorific,Canon,Original root/morpheme entry preserved.,GR-V2-0002,related usage,,Approved,
RM-V3-0001,"Volume 3: Culture, Context, and Advanced Expression",Politeness and Honorifics > Levels of Politeness,4,Li-,Prefix,show respect,Li-Ser; Li-Ya; Li-Liorinen,Add Li- prefix to show respect.,Canon,Original root/morpheme entry preserved.,GR-V3-0001; RM-V2-0038,refinement,PT-V3-0001,Needs Human Review,possible overlap with earlier rule
RM-V3-0002,"Volume 3: Culture, Context, and Advanced Expression",Politeness and Honorifics > Levels of Politeness,4,-en,Suffix,Honorific/Formal-High Respect,Liorin(en); Li-Liorinen,Use both Li- and -en suffix.,Canon,Original root/morpheme entry preserved.,GR-V3-0001; RM-V2-0032,refinement,PT-V3-0001,Needs Human Review,possible overlap with earlier rule
RM-V3-0003,"Volume 3: Culture, Context, and Advanced Expression",Register Markers > Emotional Intensity Markers,5,Ar,Marker,"Intensifier - very, intensely",Fahaen I ar!,"Ar (Intensifier - very, intensely). Usage: Place after the verb/adjective.",Canon,Original root/morpheme entry preserved.,,,PT-V3-0004,Needs Human Review,terminology overlap
RM-V3-0004,"Volume 3: Culture, Context, and Advanced Expression",Register Markers > Emotional Intensity Markers,5,Fel,Marker,"Diminisher - slightly, a bit",Theraen I fel.,"Fel (Diminisher - slightly, a bit). Usage: Place after the verb/adjective.",Canon,Original root/morpheme entry preserved.,,,PT-V3-0005,Needs Human Review,terminology overlap
RM-V3-0005,"Volume 3: Culture, Context, and Advanced Expression",Complex Sentence Structures,7-8,Aen,Marker,Complementizer,,Aen: Complementizer,Canon,Original root/morpheme entry preserved.,,,PT-V3-0008,Needs Human Review,terminology overlap
RM-V3-0006,"Volume 3: Culture, Context, and Advanced Expression",Complex Sentence Structures,7-8,Lior,Marker,Relative Pronoun,,Lior: Relative Pronoun,Canon,Original root/morpheme entry preserved.,,,,Approved,
RM-V3-0007,"Volume 3: Culture, Context, and Advanced Expression",Complex Sentence Structures,7-8,Ther,Marker,Comparative marker: more than,,Ther: Comparative marker: more than,Canon,Original root/morpheme entry preserved.,,,,Approved,
RM-V3-0008,"Volume 3: Culture, Context, and Advanced Expression",Complex Sentence Structures,7-8,Thaal,Marker,Superlative marker: most,,Thaal: Superlative marker: most,Canon,Original root/morpheme entry preserved.,,,PT-V3-0009,Needs Human Review,terminology overlap
RM-V3-0009,"Volume 3: Culture, Context, and Advanced Expression",Complex Sentence Structures,7-8,Rath,Marker,Conditional marker: if,,Rath: Conditional marker: if,Canon,Original root/morpheme entry preserved.,,,PT-V3-0010,Needs Human Review,possible overlap with earlier rule
RM-V3-0010,"Volume 3: Culture, Context, and Advanced Expression",Possession > Possession Chart,13-14,-esh,Suffix,deep relational ties,,-esh: deep relational ties,Canon,Original root/morpheme entry preserved.,,,PT-V3-0012,Needs Human Review,possible overlap with earlier rule
RM-V3-0011,"Volume 3: Culture, Context, and Advanced Expression",Possession > Possession Chart,13-14,-en,Suffix,Partner bonded to you,,-en: Partner bonded to you,Canon,Original root/morpheme entry preserved.,,,PT-V3-0012,Needs Human Review,possible overlap with earlier rule
RM-V3-0012,"Volume 3: Culture, Context, and Advanced Expression",Possession > Possession Chart,13-14,-el,Suffix,Beloved bound to them,,-el: Beloved bound to them,Canon,Original root/morpheme entry preserved.,,,PT-V3-0012,Needs Human Review,possible overlap with earlier rule
RM-V3-0013,"Volume 3: Culture, Context, and Advanced Expression",Possession > Possession Chart,13-14,-vel,Suffix,Bread shared among us,,-vel: Bread shared among us,Canon,Original root/morpheme entry preserved.,,,PT-V3-0012,Needs Human Review,possible overlap with earlier rule
RM-V3-0014,"Volume 3: Culture, Context, and Advanced Expression",Numbering System and Basic Math in Celan,30-31,Ten-,Numeric/Math Prefix,Tens prefix,Ten-del; Ten-tren; Ten-quen,Ten-: Tens prefix,Canon,Original root/morpheme entry preserved.,GR-V3-0007; GR-V3-0008,related usage,,Approved,
RM-V3-0015,"Volume 3: Culture, Context, and Advanced Expression",Numbering System and Basic Math in Celan,30-31,Hek-,Numeric/Math Prefix,Hundreds prefix,Hek-unar; Hek-quen,Hek-: Hundreds prefix,Canon,Original root/morpheme entry preserved.,GR-V3-0007; GR-V3-0008,related usage,,Approved,
RM-V3-0016,"Volume 3: Culture, Context, and Advanced Expression",Numbering System and Basic Math in Celan,30-31,Mel-,Numeric/Math Prefix,Thousands prefix,Mel-unar; Mel-quen,Mel-: Thousands prefix,Canon,Original root/morpheme entry preserved.,GR-V3-0007; GR-V3-0008,related usage,,Approved,
RM-V3-0017,"Volume 3: Culture, Context, and Advanced Expression",Numbering System and Basic Math in Celan,30-31,Fen-,Numeric/Math Prefix,Tens of thousands prefix,Fen-unar; Fen-peth,Fen-: Tens of thousands prefix,Canon,Original root/morpheme entry preserved.,GR-V3-0007; GR-V3-0008,related usage,,Approved,
RM-V3-0018,"Volume 3: Culture, Context, and Advanced Expression",Numbering System and Basic Math in Celan,30-31,Hek-Mel-,Numeric/Math Prefix,Hundreds of thousands construction,Hek-Mel-unar; Hek-Mel-quen,Hek-Mel-: Hundreds of thousands construction,Canon,Original root/morpheme entry preserved.,GR-V3-0007; GR-V3-0008,related usage,,Approved,
RM-V3-0019,"Volume 3: Culture, Context, and Advanced Expression",Numbering System and Basic Math in Celan,30-31,Ven,Numeric/Math Marker,Subtraction marker meaning minus/subtract,X Ven Y,Ven: Subtraction marker meaning minus/subtract,Canon,Corrected to match the actual subtraction pattern used elsewhere in the canon data.,GR-V3-0007; GR-V3-0008,related usage,,Approved,
RM-V4-0001,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Systemic Expansion > Section 2.1: The Adjectival Suffix -eth,2-3,-eth,Suffix,denote the inherent quality or essential manifestation of a root word,Adjectives; abstract ritual nouns,The core concept of -eth is to denote the inherent quality or essential manifestation of a root word.,Canon,Original root/morpheme entry preserved.,GR-V4-0001; RM-V3-0008,refinement,PT-V4-0002,Needs Human Review,possible overlap with earlier rule
RM-V4-0002,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Systemic Expansion > Section 2.2: Subjunctive Mood,3,vael,Particle,Subjunctive mood: wishes/hypotheticals,"Vael vaar an shara-ya; Vael rinaen I an eshlin, varal I an esh; Vael aen Ya","Place the particle vael at the beginning of a clause to express wishes, hopes, suggestions, or conditions that are not currently real.",Canon,Original root/morpheme entry preserved.,GR-V4-0003,related usage,,Approved,
RM-V4-0003,"Volume 4: Expansion, Tangible Lexicon, Modality, and National Speech",Systemic Expansion > Section 2.3: The Passive Voice (The Echo Particle nor-ka),4,nor-ka,Particle,passive voice echo particle,Nor (Time/Flow) + -ka (particle),"Derivation: Nor (Time/Flow) + -ka (particle), literally a ""particle of time's flow.""",Canon,Original root/morpheme entry preserved.,GR-V4-0004; PT-V1-0003; PT-V2-0001; PT-V3-0006,terminology overlap,PT-V4-0004,Needs Human Review,terminology overlap
RM-S1-0001,Supplement 1: The Rule of Euphony and Historical Variance,Section 5:1: Advanced Phonology - The Rule of Euphony and Historical Variance,1-2,euphonic vowel,Phonological insertion,A connecting vowel inserted to avoid harsh or dissonant consonant clusters in compound words.,Morlathar; Rathathar; Vokathar,Insert a to break up harsh clusters.,Canon,Original wording preserved.,GR-S1-0001; GR-S1-0002,related usage,PT-S1-0003,Needs Human Review,possible overlap with earlier rule
RM-S1-0002,Supplement 1: The Rule of Euphony and Historical Variance,Tiers of Application > Tier 1 > The Deeper Rule,2,vowel harmony in euphony,Phonological process,The connecting vowel often matches the dominant vowel sound of the preceding root to create a more melodic and internally consistent word.,Voknor; Vokanor; Vokonor,"a is the neutral default, but e and o can also be used.",Canon,Original wording preserved.,GR-S1-0001; PE-S1-0004,related usage,PT-S1-0003,Needs Human Review,possible overlap with earlier rule
RM-S1-0003,Supplement 1: The Rule of Euphony and Historical Variance,Tiers of Application > Tier 3: Never Applied > Phonetic Fossils,2-3,phonetic fossils,Historical variance category,Foundational words whose original form is considered sacrosanct and not corrected with a euphonic vowel.,Belthal; Rethvok,"Their slightly harsh phonetic structure is a mark of their immense age and importance. To ""correct"" them with a euphonic vowel would be seen as a form of linguistic sacrilege.",Canon,Original wording preserved.,GR-S1-0004; LX-V4-0074; LX-V4-0075; PE-S1-0010; PE-S1-0011,related usage,PT-S1-0005,Needs Human Review,contextual meaning overlap
RM-S1-0004,Supplement 1: The Rule of Euphony and Historical Variance,Tiers of Application > Tier 2: Optional / Stylistic Application,2,standard and poetic euphonic variants,Variant form pattern,"Optional euphonic vowel creates poetic, melodic, formal, or archaic variants of standard forms.",Krezthal / Krezathal; Belshara / Belashara,"The absence of the euphonic vowel is the Standard Form (direct, common speech). The presence of the euphonic vowel is the Poetic Form (more melodic, formal, or archaic).",Canon,Original wording preserved.,GR-S1-0003; LX-V4-0002; LX-V4-0066; PE-S1-0005; PE-S1-0006; PE-S1-0007; PE-S1-0008,related usage,PT-S1-0005,Needs Human Review,variant form overlap
RM-S3-0001,Supplement 3: The Conceptual Lexicon,Part 1: The Primordial Forces > Entry 1.1: The Root Shal- (Light),1,Shal-,Conceptual root,"Light, glow, brightness; hope, truth, creation, clarity, revelation, wisdom, life, beginnings.",Shal + Lian = Revelation; Shal + Rin = Aura / Pure Essence; Shal + Thar = Hope / Courage,"Literal Meaning: Light, glow, brightness. Positive Connotations: Hope, truth (Lian), creation, clarity, revelation, wisdom, life, beginnings.",Canon,Conceptual layer preserved; does not replace existing Shal lexicon rows.,LX-V2-0003; LX-V2-0069; LX-V4-0101,refinement,PT-S3-0001,Approved,
RM-S3-0002,Supplement 3: The Conceptual Lexicon,Part 1: The Primordial Forces > Entry 1.2: The Root Fah- / Vethor- (Darkness/ Shadow),1-2,Fah- / Vethor-,Conceptual root pair,"Fah: total darkness, the void, fear. Vethor: shadow, mystery, shade, gentler natural darkness.",Vethor + Lian = A Hidden Truth / A Secret; Fah + Thar = Despair / Sorrow; Rath + Vethor = A Hidden Enemy / Ambusher,"Fah: Total darkness, the void, fear. Vethor: Shadow, mystery, shade, a gentler, more natural darkness.",Canon,Root pair preserved as source presents it; existing Fah and Vethor entries remain separate.,LX-V2-0043; LX-V4-0104; LX-V2-0009; LX-V2-0067; LX-V4-0117,related usage,PT-S3-0001,Approved,
RM-S3-0003,Supplement 3: The Conceptual Lexicon,Part 2: The Elemental Pillars > Entry 2.1: The Root Krez- (Fire),2-3,Krez-,Conceptual root,"Fire, heat, energy; passion, creation, strength, life-force, warmth, resilience, purification.",Krez + Thal = Dynamic Equilibrium; Krez + Lian = A Harsh Truth; Krez + Vok = A Forge / A Crucible,"Literal Meaning: Fire, Heat, Energy. Positive Connotations: Passion, creation, strength (Kal), life-force, warmth, resilience, purification (Krezmorath ritual).",Canon,Conceptual layer preserved; Krezthal/Krezathal variation already flagged in euphony supplement.,LX-V2-0004; LX-V2-0070; LX-V4-0105; PE-S1-0005; PE-S1-0006,refinement,PT-S3-0001,Approved,
RM-S3-0004,Supplement 3: The Conceptual Lexicon,Part 2: The Elemental Pillars > Entry 2.2: The Root Dren- (Water),3,Dren-,Conceptual root,"Water, liquid, fluid; life, flow, change, healing, emotion, intuition, cleansing, adaptation.",Dren + Thal = Harmony / Serenity; Dren + Shara = A Meandering Path / A Destiny of Change; Dren + Rin = Blood / Life-Essence,"Dren is the primary metaphor for the flow of emotion, life, and connection.",Canon,Conceptual layer preserved; no standalone lexicon rows created for pairings.,LX-V2-0002; LX-V2-0068; LX-V3-0011,refinement,PT-S3-0001,Approved,
RM-S3-0005,Supplement 3: The Conceptual Lexicon,Part 2: The Elemental Pillars > Entry 2.3: The Root Morl- (Stone/Mountain),3-4,Morl-,Conceptual root,"Stone, rock, mountain; endurance, history, stubbornness, strength, foundation, stability, defense.",Morl + Thar = A Resolute Heart / Stoicism; Morl + Lian = A Foundational Truth / A Dogma; Morl + Karash = Stone-Without-Vision,Morl is the ultimate metaphor for the past and for things that are unchanging.,Canon,Conceptual layer preserved; links to euphony Morlathar and existing Morl lexicon rows.,LX-V1-0022; LX-V2-0005; LX-V2-0066; PE-S1-0001,refinement,PT-S3-0001,Approved,
