expression_id,celan_expression,pronunciation,natural_meaning,literal_meaning,expression_type,register,origin_nation,social_context,tone_or_risk,source_entry_ids,dictionary_headwords,canon_status,review_status,review_reason,approval_batch,notes
EX-LC1B-0003,Var belraku; rinaen la kaveth.,/vahr behl-rah-koo; ree-nah-ehn lah kah-vehth/,Someone is repeating an inherited habit policy prejudice or solution after its purpose expired.,The program runs; it is old.,Idiom,"Contemporary; dry criticism",Mechuma,"Programming; institutions; inherited procedures",Criticizes an outdated routine rather than age itself.,,"Var; Belraku; Rinaen; La; Kaveth",Canon,Approved,,Living Celan 1B,Often shortened to Belraku kaveth.
EX-LC1B-0004,Rinaen welvek an kel.,/ree-nah-ehn wehl-vehk ahn kehl/,Too many people are speaking across one another for the conversation to move.,There is traffic in the talk.,Idiom,"Contemporary; mildly humorous",,"Transit work; crowded markets; meetings",Usually a meeting-room complaint rather than a personal insult.,,"Rinaen; Welvek; Kel",Canon,Approved,,Living Celan 1B,Approved expression; creates no new dictionary headword.
EX-LC1B-0005,Wek'aen aenthael.,/wehk-ah-ehn ah-ehn-thah-ehl/,We are hearing the same excuse argument promise or complaint again.,The song repeats.,Idiom,"Contemporary; familiar",,"Rehearsal crews; households; recurring disputes",Weary or teasing depending on tone.,,"Wek'aen; Aenthael",Canon,Approved,,Living Celan 1B,Approved expression; creates no new dictionary headword.
EX-LC1B-0006,Anvekaen Ya mura.,/ahn-vehk-ah-ehn yah moo-rah/,You brought an empty claim useless information or impressive-looking material with no substance.,You loaded smoke.,Idiom,"Contemporary; direct",,"Cargo crews; couriers; markets; inspections",A direct accusation; lighter among coworkers.,,"Anvekaen; Ya; Mura",Canon,Approved,,Living Celan 1B,Approved expression; creates no new dictionary headword.
EX-LC1B-0007,Rinaen varvek ka lorvekral.,/ree-nah-ehn vahr-vehk kah lohr-vehk-rahl/,A project has activity and resources but nobody has accepted responsibility for directing it.,The vehicle is without an operator.,Idiom,"Contemporary; professional",,"Transport; civic work; project coordination",Criticizes absent ownership not lack of authoritarian control.,,"Rinaen; Varvek; Ka; Lorvekral",Canon,Approved,,Living Celan 1B,Approved expression; creates no new dictionary headword.
EX-LC1B-0008,Rinaen worzhel an felmek.,/ree-nah-ehn wohr-zhehl ahn fehl-mehk/,One person or small part of a group is carrying more demand than it can safely sustain.,The overload is in one component.,Idiom,"Contemporary; professional",,"Energy work; engineering; caregiving",A serious warning; must not blame the overloaded person.,,"Rinaen; Worzhel; Felmek",Canon,Approved,,Living Celan 1B,Approved expression; creates no new dictionary headword.
EX-LC1B-0009,Kavdava ka.,/kahv-dah-vah kah/,Playful denial that an embarrassing event happened or a demand for evidence.,No record.,Idiom,"Contemporary; casual",,"Archives; civic offices; performers; friends",Funny among friends; evasive or corrupt from an official.,,"Kavdava; Ka",Canon,Approved,,Living Celan 1B,Approved expression; creates no new dictionary headword.
EX-LC1B-0010,Rinaen khumkes; ver pralaen La.,/ree-nah-ehn khoom-kehs; vehr prah-lah-ehn lah/,Many people are watching judging or advising while nobody helps do the work.,There is an audience; they make nothing.,Idiom,"Contemporary; worker complaint",,"Workshops; rehearsals; repairs; crowded kitchens",Can criticize spectators or invite them to help.,,"Rinaen; Khumkes; Ver; Pralaen; La",Canon,Approved,,Living Celan 1B,Approved expression; creates no new dictionary headword.
EX-LC1C-0001,"Dar, dar.",/dahr dahr/,Hold on; one thing at a time.,Stop stop.,Colloquialism,"Informal; familiar",,"Friends; coworkers; siblings; teachers; crews",Gentle amused or irritated depending on tone.,,Dar,Canon,Approved,,Living Celan 1C,Repetition regulates conversational speed.
EX-LC1C-0002,Ilin-ka.,/ee-leen-kah/,Ours or one of ours.,Our with the understood noun omitted.,Colloquialism,"Informal; inclusive",,"Crews; households; community responsibility",Inclusion through shared claim or obligation; never ownership of a person.,PE-V1-0005,"Ilin; Ka",Canon,Approved,,Living Celan 1C,Approved ellipsis of the established possessive construction.
EX-LC1C-0003,Ver-ilin.,/vehr-ee-leen/,Not us; not one of us.,Not-us.,Colloquialism,"Informal; socially marked",,"Ethical repudiation; clique exclusion; survivor identity",Can express principled disavowal or cruel social exile.,,"Ver; Ilin",Canon,Approved,,Living Celan 1C,Approved register-marked contraction; not ordinary standard negation.
EX-LC1C-0004,Inko-ka.,/een-koh-kah/,Ours two; this is between us.,Our-two with the understood noun omitted.,Colloquialism,"Informal; intimate",,"Partners; paired workers; siblings; rivals",Marks a private shared matter promise route joke or burden.,,"Inko; Ka",Canon,Approved,,Living Celan 1C,Approved dual ellipsis.
EX-LC1C-0005,Dro?,/droh/,Water?; an offer of care and room to recover without demanding disclosure.,Water?,Colloquialism,"Informal; caring",,"Households; healers; markets; travel",Offers care without forcing the other person to explain.,,Dro,Canon,Approved,,Living Celan 1C,Conventional omission surrounding a real offer.
EX-LC1C-0006,Nor-ka.,/nohr-kah/,Set blame aside for now and work the aftermath.,The actor is unknown or irrelevant.,Colloquialism,"Occupational; urgent",,"Healers; rescue crews; engineers; investigators",Defers blame during containment; does not erase later accountability.,RM-V1-0015,"Nor; Ka",Canon,Approved,,Living Celan 1C,Occupational clipping of the existing echo particle.
EX-LC1C-0007,Wek'aen?,/wehk-ah-ehn/,Again?,The event repeats?,Colloquialism,"Informal; familiar",,"Recurring faults; family arguments; repeated performance takes",Annoyance disbelief or delight comes from tone.,LX-V3-0038,Wek'aen,Canon,Approved,,Living Celan 1C,Whole-clause ellipsis using an established discourse particle.
EX-LC1C-0008,Athnor.,/ath-nohr/,Already; I know; it is done; you are behind the moment.,Already.,Colloquialism,"Informal; clipped",,"Fast crews; adolescents; colleagues",Can be efficient familiar or impatient.,,Athnor,Canon,Approved,,Living Celan 1C,Whole-clause ellipsis using an established particle.
EX-LC1E-0001,Va tal dro; va ver kel.,/vah tahl droh; vah vehr kehl/,Prove care or commitment through useful action rather than promises.,Give water; do not talk.,National expression,Characteristic national,Zarithan,"Hospitality; scarcity; moral responsibility",Does not imply that testimony planning or reassurance never matter.,,"Va; Tal; Dro; Ver; Kel",Canon,Approved,,Living Celan 1E,National origin does not restrict who may use the expression.
EX-LC1E-0002,Va var ser mahr.,/vah vahr sehr mahhr/,Adapt to changing conditions; stop wasting strength against the larger movement.,Go with the ocean.,National expression,Characteristic national,Pelagae,"Navigation; tides; collective travel",Recommends adaptive movement not passive surrender.,,"Va; Var; Ser; Mahr",Canon,Approved,,Living Celan 1E,National origin does not restrict who may use the expression.
EX-LC1E-0003,Ver jekaen morl.,/vehr jeh-kah-ehn mohrl/,The decision stands; the foundation will not be casually moved.,Stone does not turn.,National expression,Characteristic national,Valkeldor,"Stonework; load; endurance; engineered stability",May praise resolve or criticize stubbornness.,,"Ver; Jekaen; Morl",Canon,Approved,,Living Celan 1E,National origin does not restrict who may use the expression.
EX-LC1E-0004,Va aenaen verd.,/vah ah-eh-nah-ehn vehrd/,Be patient and attend to quiet signs before acting.,Hear the living green.,National expression,Characteristic national,Verdalris,"Forest stewardship; close observation",Living systems do not literally speak in every use.,,"Va; Aenaen; Verd",Canon,Approved,,Living Celan 1E,National origin does not restrict who may use the expression.
EX-LC1E-0005,Va kes esh; va ver kes felmor.,/vah kehs ehsh; vah vehr kehs fehl-mohr/,Step back and recover the larger perspective.,Notice the sky; do not notice only the dust.,National expression,Characteristic national,Nivveil,"Visibility; weather judgment; distance; hazard communication",Does not dismiss small evidence when it is genuinely diagnostic.,,"Va; Kes; Esh; Ver; Felmor",Canon,Approved,,Living Celan 1E,National origin does not restrict who may use the expression.
EX-LC1E-0006,Zhaelpralaen La mura.,/zhah-ehl-prahl-ah-ehn lah moo-rah/,To fix a symptom display or report while leaving the failing system untouched.,They repair smoke.,National expression,Characteristic national,Mechuma,"Diagnostics; machinery; institutional criticism",Does not diminish legitimate emergency containment.,,"Zhaelpralaen; La; Mura",Canon,Approved,,Living Celan 1E,National origin does not restrict who may use the expression.
EX-LC1E-0007,Kes veth veth.,/kehs vehth vehth/,A guarded person recognizes another person's concealment; I see what you are doing.,A shadow notices a shadow.,National expression,Characteristic national,Jasara,"Veiled knowledge; caution; perceptive restraint",Recognizing concealment does not prove harmful intent.,,"Kes; Veth",Canon,Approved,,Living Celan 1E,National origin does not restrict who may use the expression.
EX-LC1E-0008,Va aenaen rathor.,/vah ah-eh-nah-ehn rah-thor/,Consult precedent elders or remembered consequence before acting.,Hear the past.,National expression,Characteristic national,Marakor,"Historical continuity; remembered consequences",Values precedent without requiring obedience to tradition.,,"Va; Aenaen; Rathor",Canon,Approved,,Living Celan 1E,National origin does not restrict who may use the expression.
