entry_id,source_volume,source_section,page_number,celan_term,english_meaning,category,usage_context,original_wording,canon_status,notes,related_entry_ids,relationship_type,potential_tension_id,review_status,review_reason
LX-V1-0011,Volume 1: Fundamentals,Gendered and Neutral Terms > Basic Vocabulary,5,Azfel,Girl (young feminine person),Gendered and neutral terms,Refers to a female child.,Azfel Girl (young feminine person) Refers to a female child.,Canon,Source vocabulary table row preserved as standalone lexicon entry.,RM-V1-0001; RM-V1-0002; RM-V1-0003,related usage,,Approved,
LX-V1-0012,Volume 1: Fundamentals,Gendered and Neutral Terms > Basic Vocabulary,5,Theefel,Neutral child (non-binary child),Gendered and neutral terms,Refers to a child of neutral identity.,Theefel Neutral child (non-binary child) Refers to a child of neutral identity.,Canon,Source vocabulary table row preserved as standalone lexicon entry.,RM-V1-0001; RM-V1-0002; RM-V1-0003,related usage,,Approved,
LX-V1-0013,Volume 1: Fundamentals,Gendered and Neutral Terms > Basic Vocabulary,5,Azon,Feminine man,Gendered and neutral terms,Describes a man with feminine qualities.,Azon Feminine man Describes a man with feminine qualities.,Canon,Source vocabulary table row preserved as standalone lexicon entry.,RM-V1-0001; RM-V1-0002; RM-V1-0003,related usage,,Approved,
LX-V1-0014,Volume 1: Fundamentals,Gendered and Neutral Terms > Basic Vocabulary,5,Kadon,Masculine woman,Gendered and neutral terms,Describes a woman with masculine traits.,Kadon Masculine woman Describes a woman with masculine traits.,Canon,Source vocabulary table row preserved as standalone lexicon entry.,RM-V1-0001; RM-V1-0002; RM-V1-0003,related usage,,Approved,
LX-V1-0015,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions,8,Var,"To, towards",Preposition,Var dren (to the water),"Var To, towards Var dren (to the water)",Canon,Source preposition table row preserved as standalone lexicon entry.,GR-V1-0018,related usage; terminology overlap,PT-V1-0001,Needs Human Review,terminology overlap
LX-V1-0016,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions,8,Ser,With,Preposition,Var I ser ser (with a friend),Ser With Var I ser ser (with a friend),Canon,Source preposition table row preserved as standalone lexicon entry.,GR-V1-0018,related usage; terminology overlap,PT-V1-0002,Needs Human Review,terminology overlap
LX-V1-0017,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions,8,Thal,"From, out of",Preposition,Tha-var La thal Terra.,"Thal From, out of Tha-var La thal Terra.",Canon,Source preposition table row preserved as standalone lexicon entry.,GR-V1-0018,related usage,,Approved,
LX-V1-0018,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions,8,Ka,Without,Preposition,Var I ka shal.,Ka Without Var I ka shal.,Canon,Source preposition table row preserved as standalone lexicon entry.,GR-V1-0018,related usage; terminology overlap,PT-V1-0003,Needs Human Review,terminology overlap
LX-V1-0019,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions,8,An,"At, in (place)",Preposition,Varan I an Varthas.,"An At, in (place) Varan I an Varthas.",Canon,Source preposition table row preserved as standalone lexicon entry.,GR-V1-0018,related usage,,Approved,
LX-V1-0020,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions,8,Nor,At/in (time),Preposition,Nor-var I nor Varthas.,Nor At/in (time) Nor-var I nor Varthas.,Canon,Source preposition table row preserved as standalone lexicon entry.,GR-V1-0018,related usage; terminology overlap,PT-V1-0004,Needs Human Review,terminology overlap
LX-V1-0021,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions,8,Esh,"Above, over",Preposition,Var I esh dren.,"Esh Above, over Var I esh dren.",Canon,Source preposition table row preserved as standalone lexicon entry.,GR-V1-0018,related usage,,Approved,
LX-V1-0022,Volume 1: Fundamentals,Grammar > Prepositions and Case Markers > Basic Prepositions,8,Morl,"Under, beneath",Preposition,Var I morl dren.,"Morl Under, beneath Var I morl dren.",Canon,Source preposition table row preserved as standalone lexicon entry.,GR-V1-0018,related usage,,Approved,
LX-V2-0001,Volume 2: Dictionary and Word Formation,Vocabulary > Nature,3,Terra,Earth / The Heart of Terra,Nature,,Terra Earth / The Heart of Terra,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0002,Volume 2: Dictionary and Word Formation,Vocabulary > Nature,3,Dren,Water,Nature,,Dren Water,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0003,Volume 2: Dictionary and Word Formation,Vocabulary > Nature,3,Shal,Light,Nature,,Shal Light,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0004,Volume 2: Dictionary and Word Formation,Vocabulary > Nature,3,Krez,Fire,Nature,,Krez Fire,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0005,Volume 2: Dictionary and Word Formation,Vocabulary > Nature,3,Morl,Mountain,Nature,,Morl Mountain,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0006,Volume 2: Dictionary and Word Formation,Vocabulary > Nature,3,Esh,Sky / Air,Nature,,Esh Sky / Air,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0007,Volume 2: Dictionary and Word Formation,Vocabulary > Nature,3,Thar,Heart (both literal and symbolic),Nature,,Thar Heart (both literal and symbolic),Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0008,Needs Human Review,contextual meaning overlap
LX-V2-0008,Volume 2: Dictionary and Word Formation,Vocabulary > Nature,3,Thal,Balance / Harmony,Nature,,Thal Balance / Harmony,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0004,Needs Human Review,terminology overlap
LX-V2-0009,Volume 2: Dictionary and Word Formation,Vocabulary > Nature,3,Vethor,Shadow / Mystery,Nature,,Vethor Shadow / Mystery,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0010,Volume 2: Dictionary and Word Formation,Vocabulary > Nature,3,Shara,Path / Journey,Nature,,Shara Path / Journey,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0011,Volume 2: Dictionary and Word Formation,Vocabulary > Greetings,3-4,Zhilva,"General ""Hello""",Greetings,,"Zhilva General ""Hello""",Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0012,Volume 2: Dictionary and Word Formation,Vocabulary > Greetings,3-4,Amthaen,"Friendly ""Hi""",Greetings,,"Amthaen Friendly ""Hi""",Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0013,Volume 2: Dictionary and Word Formation,Vocabulary > Greetings,3-4,Nekvar,"""Good morning""",Greetings,,"Nekvar ""Good morning""",Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0014,Volume 2: Dictionary and Word Formation,Vocabulary > Greetings,3-4,Kelithor,"""Good afternoon""",Greetings,,"Kelithor ""Good afternoon""",Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0015,Volume 2: Dictionary and Word Formation,Vocabulary > Greetings,3-4,Tlosen,"""Good evening""",Greetings,,"Tlosen ""Good evening""",Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0016,Volume 2: Dictionary and Word Formation,Vocabulary > Greetings,3-4,Jexhaer,"""Good night""",Greetings,,"Jexhaer ""Good night""",Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0017,Volume 2: Dictionary and Word Formation,Vocabulary > Greetings,3-4,Revalen,"""Farewell""",Greetings,,"Revalen ""Farewell""",Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0018,Volume 2: Dictionary and Word Formation,Vocabulary > Greetings,3-4,Zharinor,"""See you soon""",Greetings,,"Zharinor ""See you soon""",Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0019,Volume 2: Dictionary and Word Formation,Vocabulary > Greetings,3-4,Vrekthael,"Ceremonial ""Greetings""",Greetings,,"Vrekthael Ceremonial ""Greetings""",Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0020,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism,4,Nor,Time / Flow of Time,Time & Mysticism,,Nor Time / Flow of Time,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0001,Needs Human Review,terminology overlap
LX-V2-0021,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism,4,Varash,Future / Prophecy,Time & Mysticism,,Varash Future / Prophecy,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0022,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism,4,Rathor,Past / History,Time & Mysticism,,Rathor Past / History,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0011,Needs Human Review,contextual meaning overlap
LX-V2-0023,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism,4,Thal,Balance / Harmony,Time & Mysticism,,Thal Balance / Harmony,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0004,Needs Human Review,terminology overlap
LX-V2-0024,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism,4,Shalor,Light / New Beginnings / Fate,Time & Mysticism,,Shalor Light / New Beginnings / Fate,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0005,Needs Human Review,contextual meaning overlap
LX-V2-0025,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism,4,Thaal,The Unknown / Wonder,Time & Mysticism,,Thaal The Unknown / Wonder,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0026,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism,4,Lian,Truth / Honesty,Time & Mysticism,,Lian Truth / Honesty,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0010,Needs Human Review,contextual meaning overlap
LX-V2-0027,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism,4,Lumor,Light (enlightenment or insight),Time & Mysticism,,Lumor Light (enlightenment or insight),Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0028,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism,4,Aen,Speak / Tell / Breath of Life,Time & Mysticism,,Aen Speak / Tell / Breath of Life,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0009,Needs Human Review,contextual meaning overlap
LX-V2-0029,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism,4,Varok,Command / Direct,Time & Mysticism,,Varok Command / Direct,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0030,Volume 2: Dictionary and Word Formation,Vocabulary > Time & Mysticism,4,Arth,Protect / Defend,Time & Mysticism,,Arth Protect / Defend,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0031,Volume 2: Dictionary and Word Formation,Vocabulary > Strength & Empowerment,4-5,Kal,Strength / Power,Strength & Empowerment,,Kal Strength / Power,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0032,Volume 2: Dictionary and Word Formation,Vocabulary > Strength & Empowerment,4-5,Kalor,Strength (of the mind or spirit),Strength & Empowerment,,Kalor Strength (of the mind or spirit),Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0007,Needs Human Review,contextual meaning overlap
LX-V2-0033,Volume 2: Dictionary and Word Formation,Vocabulary > Strength & Empowerment,4-5,Seren,Guardian / Protector,Strength & Empowerment,,Seren Guardian / Protector,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0034,Volume 2: Dictionary and Word Formation,Vocabulary > Strength & Empowerment,4-5,Var,Go / Move (action and empowerment),Strength & Empowerment,,Var Go / Move (action and empowerment),Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0002,Needs Human Review,terminology overlap
LX-V2-0035,Volume 2: Dictionary and Word Formation,Vocabulary > Strength & Empowerment,4-5,Arthen,Destiny / Purpose,Strength & Empowerment,,Arthen Destiny / Purpose,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0036,Volume 2: Dictionary and Word Formation,Vocabulary > Community,5,Ser,Friend / Ally,Community,,Ser Friend / Ally,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0003,Needs Human Review,terminology overlap
LX-V2-0037,Volume 2: Dictionary and Word Formation,Vocabulary > Community,5,Vaar,Peace / Unity,Community,,Vaar Peace / Unity,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0006,Needs Human Review,contextual meaning overlap
LX-V2-0038,Volume 2: Dictionary and Word Formation,Vocabulary > Community,5,Ilan,Student / Follower,Community,,Ilan Student / Follower,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0039,Volume 2: Dictionary and Word Formation,Vocabulary > Community,5,Lorin,Guide / Teacher,Community,,Lorin Guide / Teacher,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0040,Volume 2: Dictionary and Word Formation,Vocabulary > Community,5,Rath,Enemy / Foe,Community,,Rath Enemy / Foe,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0041,Volume 2: Dictionary and Word Formation,Vocabulary > Emotions,5,Vaar,Peace / Calm,Emotions,,Vaar Peace / Calm,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0006,Needs Human Review,contextual meaning overlap
LX-V2-0042,Volume 2: Dictionary and Word Formation,Vocabulary > Emotions,5,Kalor,Courage / Strength of Spirit,Emotions,,Kalor Courage / Strength of Spirit,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0007,Needs Human Review,contextual meaning overlap
LX-V2-0043,Volume 2: Dictionary and Word Formation,Vocabulary > Emotions,5,Fah,Darkness / Fear / Night,Emotions,,Fah Darkness / Fear / Night,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0044,Volume 2: Dictionary and Word Formation,Vocabulary > Emotions,5,Thera,Longing / Yearning,Emotions,,Thera Longing / Yearning,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0045,Volume 2: Dictionary and Word Formation,Vocabulary > Emotions,5,Reth,Confusion / Uncertainty,Emotions,,Reth Confusion / Uncertainty,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0046,Volume 2: Dictionary and Word Formation,Vocabulary > Emotions,5,Vial,Joy / Happiness,Emotions,,Vial Joy / Happiness,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0047,Volume 2: Dictionary and Word Formation,Vocabulary > Body,5-6,Lorinor,Head,Body,,Lorinor Head,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0048,Volume 2: Dictionary and Word Formation,Vocabulary > Body,5-6,Lorinshal,Eye,Body,,Lorinshal Eye,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0049,Volume 2: Dictionary and Word Formation,Vocabulary > Body,5-6,Aenor,Ear,Body,,Aenor Ear,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0050,Volume 2: Dictionary and Word Formation,Vocabulary > Body,5-6,Aenvor,Nose,Body,,Aenvor Nose,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0051,Volume 2: Dictionary and Word Formation,Vocabulary > Body,5-6,Kelvor,Mouth,Body,,Kelvor Mouth,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0052,Volume 2: Dictionary and Word Formation,Vocabulary > Body,5-6,Sorl,Neck,Body,,Sorl Neck,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0053,Volume 2: Dictionary and Word Formation,Vocabulary > Body,5-6,Kalvar,Arm,Body,,Kalvar Arm,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0054,Volume 2: Dictionary and Word Formation,Vocabulary > Body,5-6,Korin,Hand,Body,,Korin Hand,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0055,Volume 2: Dictionary and Word Formation,Vocabulary > Body,5-6,Sharvar,Leg,Body,,Sharvar Leg,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0056,Volume 2: Dictionary and Word Formation,Vocabulary > Body,5-6,Morlka,Foot,Body,,Morlka Foot,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0057,Volume 2: Dictionary and Word Formation,Vocabulary > Body,5-6,Thar,Heart,Body,,Thar Heart,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0008,Needs Human Review,contextual meaning overlap
LX-V2-0058,Volume 2: Dictionary and Word Formation,Vocabulary > Elements of Wonder,6,Dral,Sky / Wonder / The Heavens,Elements of Wonder,,Dral Sky / Wonder / The Heavens,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0059,Volume 2: Dictionary and Word Formation,Vocabulary > Elements of Wonder,6,Shalor,"Light (discovery, vision, hope)",Elements of Wonder,,"Shalor Light (discovery, vision, hope)",Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0005,Needs Human Review,contextual meaning overlap
LX-V2-0060,Volume 2: Dictionary and Word Formation,Vocabulary > Elements of Wonder,6,Thaal,The Unknown / Wonder,Elements of Wonder,,Thaal The Unknown / Wonder,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0061,Volume 2: Dictionary and Word Formation,Vocabulary > Everyday Life,6,Tal,Give / Offer,Everyday Life,,Tal Give / Offer,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0062,Volume 2: Dictionary and Word Formation,Vocabulary > Everyday Life,6,Aen,Speak / Tell,Everyday Life,,Aen Speak / Tell,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0009,Needs Human Review,contextual meaning overlap
LX-V2-0063,Volume 2: Dictionary and Word Formation,Vocabulary > Everyday Life,6,Var,Go / Move,Everyday Life,,Var Go / Move,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0002,Needs Human Review,terminology overlap
LX-V2-0064,Volume 2: Dictionary and Word Formation,Vocabulary > Everyday Life,6,Lian,Truth / Honesty,Everyday Life,,Lian Truth / Honesty,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0010,Needs Human Review,contextual meaning overlap
LX-V2-0065,Volume 2: Dictionary and Word Formation,Vocabulary > Everyday Life,6,Ser,Friend / Ally,Everyday Life,,Ser Friend / Ally,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0003,Needs Human Review,terminology overlap
LX-V2-0066,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Morl,Mountain,Nature and Landscapes,,Morl Mountain,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0067,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Vethor,Shadow / Mystery,Nature and Landscapes,,Vethor Shadow / Mystery,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0068,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Dren,Water / River,Nature and Landscapes,,Dren Water / River,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0069,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Shal,Light / Brightness,Nature and Landscapes,,Shal Light / Brightness,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0070,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Krez,Fire / Volcanic,Nature and Landscapes,,Krez Fire / Volcanic,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0071,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Esh,Sky / Air,Nature and Landscapes,,Esh Sky / Air,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0072,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Thal,Balance / Harmony,Nature and Landscapes,,Thal Balance / Harmony,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0004,Needs Human Review,terminology overlap
LX-V2-0073,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Terra,Earth / Ground,Nature and Landscapes,,Terra Earth / Ground,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0074,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Morldren,Waterfall (mountain + water),Nature and Landscapes,,Morldren Waterfall (mountain + water),Canon,Human-approved fused spelling applied: Morldren. Variant overlap retained as duplicate/reference record.,LX-V2-0145,duplicate,PT-V2-0013,Approved,
LX-V2-0075,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Verdor,forest place/realm,Nature and Landscapes,,Verdor forest place/realm,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0076,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Mahr,ocean,Nature and Landscapes,,Mahr ocean,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0077,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Lun,Lake,Nature and Landscapes,,Lun Lake,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0078,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Velk,Ice/Frozen water,Nature and Landscapes,,Velk Ice/Frozen water,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0079,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Awek,Spring,Nature and Landscapes,,Awek Spring,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0080,Volume 2: Dictionary and Word Formation,Vocabulary > Nature and Landscapes,6-7,Terlin,Island/beach,Nature and Landscapes,,Terlin Island/beach,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0081,Volume 2: Dictionary and Word Formation,Vocabulary > Urban and Mystical Spaces,7,Kaleth,Fortress / Stronghold,Urban and Mystical Spaces,,Kaleth Fortress / Stronghold,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0082,Volume 2: Dictionary and Word Formation,Vocabulary > Urban and Mystical Spaces,7,Varthas,City / Town,Urban and Mystical Spaces,,Varthas City / Town,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0083,Volume 2: Dictionary and Word Formation,Vocabulary > Urban and Mystical Spaces,7,Lorash,Temple / Shrine,Urban and Mystical Spaces,,Lorash Temple / Shrine,Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0084,Volume 2: Dictionary and Word Formation,Vocabulary > Urban and Mystical Spaces,7,Shalor,Sanctuary (light-filled place),Urban and Mystical Spaces,,Shalor Sanctuary (light-filled place),Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0005,Needs Human Review,contextual meaning overlap
LX-V2-0085,Volume 2: Dictionary and Word Formation,Vocabulary > Urban and Mystical Spaces,7,Rathor,Old City / Ancient Place,Urban and Mystical Spaces,,Rathor Old City / Ancient Place,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0011,Needs Human Review,contextual meaning overlap
LX-V2-0086,Volume 2: Dictionary and Word Formation,Vocabulary > Urban and Mystical Spaces,7,Krezor,Forge / Place of Fire,Urban and Mystical Spaces,,Krezor Forge / Place of Fire,Canon,Original vocabulary table row preserved. Flagged for overlapping Volume 1/Volume 2 usage.,,,PT-V2-0012,Needs Human Review,terminology overlap
LX-V2-0087,Volume 2: Dictionary and Word Formation,Vocabulary > Urban and Mystical Spaces,7,Norvaar,Gateway (time-related portal),Urban and Mystical Spaces,,Norvaar Gateway (time-related portal),Canon,Original vocabulary table row preserved.,,,,Approved,
LX-V2-0088,Volume 2: Dictionary and Word Formation,Vocabulary > Words for Times of Day,7-8,Kinnshal,Dawn (Light Awakens),Times of Day,"The time when light awakens, symbolizing renewal.","Kinnshal – Dawn (Light Awakens)
○ Root: Kinn (daylight) + Shal (light)
○ Meaning: The time when light awakens, symbolizing renewal.
○ Example: “Var I dren an Kinnshal.” – “I go to the water at dawn.”",Canon,Original numbered list structure preserved in original_wording field.,RM-V2-0001; RM-V2-0002; PE-V2-0001,related usage,,Approved,
